domain_seed,condition,campaign,auc,batches_to_90,final_hv
42,gen6_child0_beta1,0,-0.878240801103666,0,16.126768905141482
42,gen6_child0_beta1,1,-0.0698500383001268,1,15.685394778661564
42,gen6_child0_beta1,2,-1.3941802566458095,0,16.153991531577084
42,gen6_child0_beta1,3,-1.5987393362793283,0,16.27335531659103
42,gen6_child0_beta1,4,-0.10920066410421307,0,15.623799971321752
42,gen6_child0_beta1,5,-0.8799062228199025,0,16.047342938238685
42,gen6_child0_beta1,6,-0.672843331778734,0,16.028247666104622
42,gen6_child0_beta1,7,-0.063441964858489,0,15.55902018228591
42,gen6_child0_beta1,8,0.1382362492499994,1,15.382821567321635
42,gen6_child0_beta1,9,-0.48295027084043146,0,15.90473670224461
42,gen6_child0_beta1,10,-0.6766244055644527,0,15.936017952186209
42,gen6_child0_beta1,11,-1.4323603828134053,0,16.144862456201253
42,gen6_child0_beta1,12,-0.5667840094134237,0,15.935851525397661
42,gen6_child0_beta1,13,-0.04243050789994237,3,15.818550152081114
42,gen6_child0_beta1,14,-1.1950513788488786,0,16.131413454287465
42,gen6_child0_beta1,15,0.6420033740544607,6,14.668381506237466
42,gen6_child0_beta1,16,-1.3469745935912047,0,16.226311404922665
42,gen6_child0_beta1,17,0.17953546938950654,0,15.206959474355235
42,gen6_child0_beta1,18,-0.8364603685088989,0,15.940528208959512
42,gen6_child0_beta1,19,-0.06803231554679195,1,15.5690719430395
42,gen6_child0_beta2,0,-0.47823958094452645,0,16.029423141822374
42,gen6_child0_beta2,1,-0.3038147229674287,1,15.827040186838156
42,gen6_child0_beta2,2,-1.4829376931289002,0,16.163910733051328
42,gen6_child0_beta2,3,-1.7168814776277797,0,16.238258276479858
42,gen6_child0_beta2,4,-0.3382641340037849,0,15.762935025910856
42,gen6_child0_beta2,5,-1.1524303476189972,0,16.13136025064103
42,gen6_child0_beta2,6,-0.549932843367438,0,15.96532902203873
42,gen6_child0_beta2,7,-0.03311409841367829,0,15.492399968344534
42,gen6_child0_beta2,8,0.14098330321388328,1,15.357880203154593
42,gen6_child0_beta2,9,-0.4691889529648651,0,15.88553097945995
42,gen6_child0_beta2,10,-0.579995889846547,0,15.876314562422184
42,gen6_child0_beta2,11,-1.5108588981662192,0,16.18704147040338
42,gen6_child0_beta2,12,-0.5300049557117625,0,15.875493513493417
42,gen6_child0_beta2,13,0.40383959367617267,2,15.008083172192617
42,gen6_child0_beta2,14,-1.3291007143733256,0,16.157758992420334
42,gen6_child0_beta2,15,0.4003239853670055,2,15.195623669409029
42,gen6_child0_beta2,16,-1.2186209399586612,0,16.21618118026055
42,gen6_child0_beta2,17,-0.13138950402426625,0,15.667404338201365
42,gen6_child0_beta2,18,-1.1587953660063337,0,16.09103172506873
42,gen6_child0_beta2,19,-0.04028939465802233,1,15.52652437394414
42,gen6_child0_beta3,0,0.09608094074587784,0,15.291300612208547
42,gen6_child0_beta3,1,-0.3694362857886325,1,15.924089628734214
42,gen6_child0_beta3,2,-1.421497788879316,0,16.179268099365608
42,gen6_child0_beta3,3,-1.5753041443363165,0,16.272403445759245
42,gen6_child0_beta3,4,-0.3702638606787793,0,15.745655093909376
42,gen6_child0_beta3,5,-0.8097603569215173,0,16.042520603497053
42,gen6_child0_beta3,6,-0.49629613728706595,0,15.877307437469778
42,gen6_child0_beta3,7,-0.06399210768109341,0,15.550167320360611
42,gen6_child0_beta3,8,0.15949595239874198,1,15.378285793715412
42,gen6_child0_beta3,9,-1.0301283876961391,0,16.074947875646963
42,gen6_child0_beta3,10,-1.0012566201818718,0,16.075420406635295
42,gen6_child0_beta3,11,-1.4027468064925976,0,16.14211219906695
42,gen6_child0_beta3,12,-0.4736130599197813,0,15.92457156081585
42,gen6_child0_beta3,13,0.41734648590678886,2,15.065707890113217
42,gen6_child0_beta3,14,-0.7945266210244916,0,16.067501841616647
42,gen6_child0_beta3,15,0.263888805836757,2,15.485037740784678
42,gen6_child0_beta3,16,-1.655796427301841,0,16.234990495427727
42,gen6_child0_beta3,17,0.1758924010166379,0,15.2614951880943
42,gen6_child0_beta3,18,-1.135732308616689,0,16.068426502186806
42,gen6_child0_beta3,19,-0.9012229392343265,1,16.19596361142838
42,hint_fixed_ucb,0,-0.8476053765864136,0,16.1495245181507
42,hint_fixed_ucb,1,-0.38525922149889763,1,15.926508280795309
42,hint_fixed_ucb,2,-1.131329271533864,0,16.080999885437155
42,hint_fixed_ucb,3,-1.2594419194083084,0,16.17433931173739
42,hint_fixed_ucb,4,-0.4037276762069589,0,15.79350299699867
42,hint_fixed_ucb,5,-1.1380650269675836,0,16.143403990874504
42,hint_fixed_ucb,6,-0.5005585639729714,0,15.917746254552661
42,hint_fixed_ucb,7,-0.08621987151388623,0,15.56198773999601
42,hint_fixed_ucb,8,-0.839999511794628,1,16.161803848853783
42,hint_fixed_ucb,9,-0.7511503972359741,0,16.047714418071195
42,hint_fixed_ucb,10,-0.833704529530089,0,15.972169066601506
42,hint_fixed_ucb,11,-1.8484763727954103,0,16.209844737890872
42,hint_fixed_ucb,12,-0.8642170923766523,0,16.070956067047078
42,hint_fixed_ucb,13,0.27526813270031986,1,15.258119112429958
42,hint_fixed_ucb,14,-0.6770721619905987,0,15.925596164367642
42,hint_fixed_ucb,15,-0.011358184186930211,3,15.836773693522472
42,hint_fixed_ucb,16,-1.1394064580740195,0,16.203150648421055
42,hint_fixed_ucb,17,-0.01151119111607231,0,15.622911439531329
42,hint_fixed_ucb,18,-1.349224937702439,0,16.15374727233716
42,hint_fixed_ucb,19,-0.08242208875596378,1,15.569269465987182
42,phase_decaying_ucb,0,0.09608094074587784,0,15.291300612208547
42,phase_decaying_ucb,1,-0.31059829088263824,1,15.860067296775982
42,phase_decaying_ucb,2,-1.2375682715263987,0,16.145505604716675
