n_obs,objective,boundary_std,front_range,growth_weight,domain_seed,campaign
10,f1,0.020204771884612067,0.7549162934724749,1.0267642546058635,42,0
10,f2,0.21589352871972076,9.57642311413606,1.022544276307198,42,0
15,f1,0.018855744140166115,0.802963626979827,1.0234826877664283,42,0
15,f2,0.15713836874415,10.124524490954133,1.015520567794028,42,0
20,f1,0.019116819909497196,0.8660184384989627,1.0220743797818344,42,0
20,f2,0.13712007709075402,10.124524490954133,1.0135433597116847,42,0
25,f1,0.04008040801977656,0.9683514604248752,1.041390352220041,42,0
25,f2,0.1336781863708585,10.172168768628612,1.013141561982645,42,0
30,f1,0.03588994081788854,1.0175634128577453,1.0352704709744767,42,0
30,f2,0.07668624950829618,10.228112024120417,1.00749759577598,42,0
35,f1,0.03525311337223918,1.0175634128577453,1.0346446353384833,42,0
35,f2,0.08164294690621217,10.228112024120417,1.0079822108629313,42,0
10,f1,0.015536907230972868,0.6676221115996137,1.023272008163041,42,1
10,f2,0.055586145153730795,2.6114270036746623,1.0212857357588447,42,1
15,f1,0.016917425545168355,0.9350030516501313,1.018093444203537,42,1
15,f2,0.061276987951691064,2.628743782376766,1.0233103691438075,42,1
20,f1,0.020947887478759183,0.9350030516501313,1.0224040846089106,42,1
20,f2,0.06156871171628735,2.7222141976888774,1.0226171444438716,42,1
25,f1,0.029577706098925904,0.9350030516501313,1.0316338070199087,42,1
25,f2,0.06525281682951393,2.7222141976888774,1.0239704931687275,42,1
30,f1,0.02621086721358479,0.9350030516501313,1.0280329215688941,42,1
30,f2,0.0750028820502245,2.9520367247220363,1.0254071642883396,42,1
35,f1,0.039281270326171555,0.9696126950589317,1.0405123308784485,42,1
35,f2,0.056305857110162665,2.986573361437871,1.018852996493297,42,1
10,f1,0.018870175396351413,0.9206653239748704,1.020496237780393,42,2
10,f2,0.14593187019568787,6.133464658363748,1.0237927302632601,42,2
15,f1,0.015928532448237467,0.9206653239748704,1.0173011104398586,42,2
15,f2,0.11803254033338663,6.133464658363748,1.0192440238768532,42,2
20,f1,0.020099653121269795,1.0314663832395659,1.0194864839493285,42,2
20,f2,0.08458150470751782,6.153380185555065,1.0137455353248075,42,2
25,f1,0.042755881872741916,1.0314663832395659,1.0414515514683638,42,2
25,f2,0.07623448005389291,6.153380185555065,1.0123890411050582,42,2
30,f1,0.030737986625039265,1.0314663832395659,1.0298002796063013,42,2
30,f2,0.05634413277672172,6.153380185555065,1.0091566149137003,42,2
35,f1,0.046622069082084355,1.0314663832395659,1.0451997950099514,42,2
35,f2,0.05108833516267845,6.153380185555065,1.0083024831266898,42,2
10,f1,0.021087069823515117,0.946880651397347,1.022270039832788,43,0
10,f2,0.15883575155819768,6.86312117887571,1.0231433698194177,43,0
15,f1,0.013582125473851141,0.946880651397347,1.014344073304072,43,0
15,f2,0.13029192595882208,6.86312117887571,1.0189843545761443,43,0
20,f1,0.0175883150040731,0.946880651397347,1.0185750072916977,43,0
20,f2,0.11493256075426336,6.86312117887571,1.016746398287126,43,0
25,f1,0.01849560309557828,0.946880651397347,1.0195331936166228,43,0
25,f2,0.09923983173187742,6.86312117887571,1.0144598687893391,43,0
30,f1,0.018288345737073282,0.946880651397347,1.0193143092638808,43,0
30,f2,0.08898485376077975,6.882205624076847,1.0129296999568675,43,0
35,f1,0.022300996468619348,0.946880651397347,1.0235520669217488,43,0
35,f2,0.07941140918867538,6.882205624076847,1.011538656867627,43,0
10,f1,0.021923257104249905,0.8185283543915708,1.0267837479137127,43,1
10,f2,0.15813127592371054,5.802572798882776,1.027251924517717,43,1
15,f1,0.018483476799513274,0.9775167714100654,1.0189086032486694,43,1
15,f2,0.11955005151982423,5.802572798882776,1.0206029386727975,43,1
20,f1,0.03149244106603012,0.9775167714100654,1.0322167782559908,43,1
20,f2,0.11593305649804359,5.933799424902407,1.019537744402264,43,1
25,f1,0.03129330582151659,0.9775167714100654,1.0320130628310102,43,1
25,f2,0.09954414650321246,5.933799424902407,1.0167757855254518,43,1
30,f1,0.030044140847043637,0.9775167714100654,1.0307351666240008,43,1
30,f2,0.0916406895199423,5.933799424902407,1.0154438468437867,43,1
35,f1,0.03231576244747746,0.9775167714100654,1.0330590363179775,43,1
35,f2,0.07823498389111809,5.933799424902407,1.0131846357264436,43,1
10,f1,0.01618903123438223,0.6044592736236931,1.026782666658963,43,2
10,f2,0.13982135011703878,5.256262788448886,1.0266009055757845,43,2
15,f1,0.01964327209306953,0.6353401976219732,1.030917722767413,43,2
15,f2,0.11745737899728899,5.256262788448886,1.0223461770700302,43,2
20,f1,0.02026499318354619,0.8822073350162061,1.0229707829205184,43,2
20,f2,0.1330358719975887,7.387888549240306,1.0180072927617823,43,2
25,f1,0.03550482983233929,0.8822073350162061,1.0402454484598986,43,2
25,f2,0.1231848292250131,7.387888549240306,1.0166738884058666,43,2
30,f1,0.0342056409523417,0.8822073350162061,1.038772791377566,43,2
30,f2,0.09140152405982845,7.501133197380302,1.0121850288022813,43,2
35,f1,0.034532610346584544,0.8822073350162061,1.0391434178519385,43,2
35,f2,0.08635945289327895,7.526254026091496,1.0114744270647646,43,2
