n_obs,objective,top_candidate_std,front_range,growth_weight,domain_seed,campaign
10,f1,0.09578443937522561,0.7549162934724749,1.1268808743478498,42,0
10,f2,1.072946825405273,9.57642311413606,1.1120404573416836,42,0
15,f1,0.09196736765548488,0.802963626979827,1.1145349111284157,42,0
15,f2,0.9629158808743985,10.124524490954133,1.0951072696534763,42,0
20,f1,0.07505281750959791,0.8543888604714412,1.0878438624166806,42,0
20,f2,0.5960969256575441,10.124524490954133,1.0588765355044707,42,0
25,f1,0.05508629780905939,0.9567218823973538,1.0575781727402578,42,0
25,f2,0.5506477107633607,10.2081964969291,1.0539417232935329,42,0
30,f1,0.05921881299325395,0.9590542660820647,1.0617470930348656,42,0
30,f2,0.06973129310397441,10.228112024120417,1.006817611396857,42,0
35,f1,0.06809809033552125,0.9590542660820647,1.0710054610504116,42,0
35,f2,0.09727882692307094,10.228112024120417,1.00951092701113,42,0
10,f1,0.05098785650496105,0.6676221115996137,1.076372330423261,42,1
10,f2,0.37487304767369656,2.6114270036746623,1.1435510344138262,42,1
15,f1,0.04158945811955896,0.9350030516501313,1.0444805586956751,42,1
15,f2,0.34605900284275953,2.628743782376766,1.1316442496841104,42,1
20,f1,0.05495001962719258,0.9350030516501313,1.058769882654623,42,1
20,f2,0.06517613444561393,2.7222141976888774,1.0239423240467072,42,1
25,f1,0.058982213768048394,0.9350030516501313,1.0630823756820411,42,1
25,f2,0.37373998121877133,2.7222141976888774,1.1372926427083039,42,1
30,f1,0.06884368000698216,1.004706592832059,1.068521178718382,42,1
30,f2,0.12562269224147116,3.0216545743466363,1.04157414064069,42,1
35,f1,0.09582372454844999,1.00703897651677,1.0951539382118982,42,1
35,f2,0.19064226335085885,3.0775978298384405,1.0619451513458036,42,1
10,f1,0.0731341056129428,0.9206653239748704,1.079436146565393,42,2
10,f2,0.17010735792266105,6.133464658363748,1.027734301475219,42,2
15,f1,0.061300275091101836,0.9206653239748704,1.0665825827201187,42,2
15,f2,0.21142491631437102,6.133464658363748,1.0344707156706392,42,2
20,f1,0.10967993935561987,1.0314663832395659,1.1063339931749825,42,2
20,f2,0.14302879607821276,6.153380185555065,1.0232439393902508,42,2
25,f1,0.12340464295661917,1.0314663832395659,1.119640004717398,42,2
25,f2,0.08403287657096062,6.153380185555065,1.0136563765015245,42,2
30,f1,0.049118987447191766,1.0314663832395659,1.0476205412462614,42,2
30,f2,0.060169232150874885,6.153380185555065,1.0097782406314046,42,2
35,f1,0.0454392291949586,1.0314663832395659,1.0440530393751135,42,2
35,f2,0.08421701288793924,6.153380185555065,1.0136863009189059,42,2
10,f1,0.047308044631164003,0.946880651397347,1.0499619931628656,43,0
10,f2,0.4260714586940453,6.86312117887571,1.0620812961900583,43,0
15,f1,0.037605842701081076,0.946880651397347,1.0397155044255944,43,0
15,f2,0.9405560612600703,6.86312117887571,1.1370449445297641,43,0
20,f1,0.04897893411259572,0.946880651397347,1.051726618386716,43,0
20,f2,0.3269261114940741,6.86312117887571,1.047635194392361,43,0
25,f1,0.021310968855981275,0.946880651397347,1.022506499445872,43,0
25,f2,0.8126352463095345,6.86312117887571,1.1184060757677976,43,0
30,f1,0.04398533783915733,0.946880651397347,1.0464528848215946,43,0
30,f2,0.27707894241061365,6.882205624076847,1.0402601952840924,43,0
35,f1,0.04092111926039512,0.946880651397347,1.043216765703266,43,0
35,f2,0.08545104542657277,6.882205624076847,1.0124162296353991,43,0
10,f1,0.15385823316887848,0.8185283543915708,1.1879693383172345,43,1
10,f2,1.4091611610816104,5.802572798882776,1.2428510955266134,43,1
15,f1,0.03092227952815001,0.9775167714100654,1.031633502802765,43,1
15,f2,0.7180745337170992,5.802572798882776,1.1237510598497544,43,1
20,f1,0.067946237974229,0.9775167714100654,1.0695090252786321,43,1
20,f2,0.36878992350716616,5.916796665035207,1.062329321824848,43,1
25,f1,0.0428003676552011,1.0536079238020342,1.0406226706237671,43,1
25,f2,0.2056165612527936,5.916796665035207,1.0347513313188312,43,1
30,f1,0.051181484205609654,1.0536079238020342,1.0485773531589597,43,1
30,f2,0.08330152653326947,5.933799424902407,1.0140384803341478,43,1
35,f1,0.06246917316512322,1.0536079238020342,1.059290720726262,43,1
35,f2,0.06600690069423257,5.933799424902407,1.0111238847098911,43,1
10,f1,0.09745260688853029,0.6044592736236931,1.16122278396741,43,2
10,f2,1.2135147340732653,5.256262788448886,1.2308702557147777,43,2
15,f1,0.06877768692077886,0.6353401976219732,1.1082533218867752,43,2
15,f2,0.7484710793878683,5.256262788448886,1.1423960539097666,43,2
20,f1,0.057955978358522335,0.8238100205839449,1.0703511451796146,43,2
20,f2,0.682626147583933,5.256262788448886,1.1298691056855197,43,2
25,f1,0.08205813001113667,0.9379838379151368,1.0874835223104993,43,2
25,f2,0.33541509634269884,5.434103756957024,1.0617240876038267,43,2
30,f1,0.05940210062721509,0.9379838379151368,1.0633295566789813,43,2
30,f2,0.13725836715520717,5.434103756957024,1.0252586945877655,43,2
35,f1,0.054852828526072595,0.9379838379151368,1.0584795028536893,43,2
35,f2,0.2588780625575553,5.434103756957024,1.0476395141013135,43,2
