dataset,condition,seed,auc,final,budget,N
pareto_20201218,egbo,3,0.47727118411687425,0.6091588655870268,32,65
pareto_20201218,egbo,0,0.39832550833358316,0.39832550833358316,32,65
pareto_20201218,egbo,2,1.0,1.0,32,65
pareto_20201218,egbo,1,0.4753733252708722,0.6052342266545373,32,65
pareto_20201218,egbo,6,0.5146473606113452,0.6091588655870268,32,65
pareto_20201218,egbo,5,0.4432536868575937,0.6091588655870268,32,65
pareto_20201218,egbo,4,0.6052342266545374,0.6052342266545373,32,65
pareto_20201218,egbo,7,0.7708862315510158,1.0,32,65
pareto_20201218,egbo,8,0.5354321102557553,0.6091588655870268,32,65
pareto_20201218,egbo,9,0.3320644901104497,0.37159487618626297,32,65
pareto_20201218,egbo,10,0.6340804707231639,1.0,32,65
pareto_20201218,egbo,12,0.606858215178326,0.6091588655870268,32,65
pareto_20201218,egbo,11,0.5354321102557553,0.6091588655870268,32,65
pareto_20201218,egbo,13,0.6606244996064026,1.0,32,65
pareto_20201218,egbo,14,0.6426855338253211,1.0,32,65
pareto_20201218,egbo,17,0.3955299520356525,0.6091588655870268,32,65
pareto_20201218,egbo,15,0.6521238395085265,1.0,32,65
pareto_20201218,egbo,16,0.5810972645002908,0.6091588655870268,32,65
pareto_20201218,egbo,19,0.6357768005261697,1.0,32,65
pareto_20201218,egbo,18,0.46195842873261567,1.0,32,65
pareto_20201218,egbo,20,0.5281278414859109,0.6091588655870268,32,65
pareto_20201218,egbo,21,0.4426857635588437,0.6052342266545373,32,65
pareto_20201218,egbo,23,1.0,1.0,32,65
pareto_20201218,egbo,22,1.0,1.0,32,65
pareto_20201218,egbo,25,0.6091588655870268,0.6091588655870268,32,65
pareto_20201218,egbo,24,0.40439048546501727,0.4503830116007671,32,65
pareto_20201218,egbo,26,0.6057755561624669,0.6091588655870268,32,65
pareto_20201218,egbo,28,1.0,1.0,32,65
pareto_20201218,egbo,27,0.47304287086448676,0.6091588655870268,32,65
pareto_20201218,egbo,29,0.7536199707175852,1.0,32,65
pareto_20201218,llm_nopad,0,0.7302838485633304,1.0,32,65
pareto_20201218,llm_nopad,1,0.667493643728951,1.0,32,65
pareto_20201218,llm_nopad,2,1.0,1.0,32,65
pareto_20201218,llm_nopad,3,0.47358420037241633,0.6091588655870268,32,65
pareto_20201218,llm_nopad,4,0.9319369356300926,1.0,32,65
pareto_20201218,llm_nopad,5,0.6375336346037733,1.0,32,65
pareto_20201218,llm_nopad,6,0.5431864941728561,0.6091588655870268,32,65
pareto_20201218,llm_nopad,7,0.6091588655870268,0.6091588655870268,32,65
pareto_20201218,llm_nopad,8,0.8916542889976317,1.0,32,65
pareto_20201218,llm_nopad,9,0.8521239029218183,1.0,32,65
pareto_20201218,llm_nopad,10,0.49263706759684556,0.6091588655870268,32,65
pareto_20201218,llm_nopad,11,0.6104829074178494,1.0,32,65
pareto_20201218,llm_nopad,12,0.606858215178326,0.6091588655870268,32,65
pareto_20201218,llm_nopad,13,0.4777554584683158,0.6091588655870268,32,65
pareto_20201218,llm_nopad,14,0.8049777201957369,1.0,32,65
pareto_20201218,llm_nopad,15,0.27628026847609255,0.39832550833358316,32,65
