dataset,condition,seed,auc,final,budget,N
excipient_mAb_aggregation,egbo,1,0.9421581131234663,1.0,80,500
excipient_mAb_aggregation,egbo,2,0.846239160703037,1.0,80,500
excipient_mAb_aggregation,egbo,0,0.8729818109723249,1.0,80,500
excipient_mAb_aggregation,egbo,3,0.8270023491567634,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,4,0.8448116897857113,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,5,0.870765633723936,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,6,0.8091746827504552,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,7,0.9078421693766566,1.0,80,500
excipient_mAb_aggregation,egbo,10,0.8545185480466561,0.8971584223491809,80,500
excipient_mAb_aggregation,egbo,9,0.8478291753786501,0.8971584223491809,80,500
excipient_mAb_aggregation,egbo,8,0.7848157280765081,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,11,0.8999667150108658,1.0,80,500
excipient_mAb_aggregation,egbo,12,0.8189112370116823,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,14,0.8497864211569023,1.0,80,500
excipient_mAb_aggregation,egbo,13,0.875682196858618,1.0,80,500
excipient_mAb_aggregation,egbo,15,0.8163836414058927,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,16,0.8151720686233063,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,18,0.8272308809056438,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,17,0.9130246647136055,1.0,80,500
excipient_mAb_aggregation,egbo,19,0.8954942514929544,1.0,80,500
excipient_mAb_aggregation,llm_nopad,0,0.7604998688490602,0.8205553897471157,80,500
excipient_mAb_aggregation,llm_nopad,1,0.921743329519984,1.0,80,500
excipient_mAb_aggregation,llm_nopad,2,0.8947416923694974,1.0,80,500
excipient_mAb_aggregation,llm_nopad,3,0.8233945594790086,1.0,80,500
excipient_mAb_aggregation,llm_nopad,4,0.8656301686149172,0.9088796989475091,80,500
