dataset,condition,seed,auc,final,budget,N
excipient_mAb_aggregation,egbo,0,0.860902956045481,1.0,80,500
excipient_mAb_aggregation,egbo,2,0.8365961317132865,0.8971584223491809,80,500
excipient_mAb_aggregation,egbo,1,0.9421581131234663,1.0,80,500
excipient_mAb_aggregation,egbo,3,0.8270023491567634,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,6,0.8091746827504552,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,4,0.8448116897857113,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,5,0.870765633723936,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,7,0.9078421693766566,1.0,80,500
excipient_mAb_aggregation,egbo,10,0.8577508649345171,0.8971584223491809,80,500
excipient_mAb_aggregation,egbo,9,0.8478291753786501,0.8971584223491809,80,500
excipient_mAb_aggregation,egbo,8,0.8051990599882834,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,11,0.9485537850640978,1.0,80,500
excipient_mAb_aggregation,egbo,14,0.846824696300215,0.8971584223491809,80,500
excipient_mAb_aggregation,egbo,12,0.8283719619156514,1.0,80,500
excipient_mAb_aggregation,egbo,13,0.8719537879842769,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,15,0.8163836414058927,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,18,0.8327915746103787,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,17,0.9130246647136055,1.0,80,500
excipient_mAb_aggregation,egbo,16,0.8206516520137924,0.9088796989475091,80,500
excipient_mAb_aggregation,egbo,19,0.8954942514929544,1.0,80,500
excipient_mAb_aggregation,llm_nopad,0,0.9554202357719492,1.0,80,500
excipient_mAb_aggregation,llm_nopad,1,0.9761827524626039,1.0,80,500
excipient_mAb_aggregation,llm_nopad,2,0.937501131161425,1.0,80,500
excipient_mAb_aggregation,llm_nopad,3,0.9213994730765356,1.0,80,500
excipient_mAb_aggregation,llm_nopad,4,0.9503908344910952,1.0,80,500
excipient_mAb_aggregation,llm_nopad,5,0.973658654266255,1.0,80,500
excipient_mAb_aggregation,llm_nopad,6,0.9071028909032367,1.0,80,500
excipient_mAb_aggregation,llm_nopad,7,0.9868151823524592,1.0,80,500
excipient_mAb_aggregation,llm_nopad,8,0.9396698762856149,1.0,80,500
excipient_mAb_aggregation,llm_nopad,9,0.9741926242914252,1.0,80,500
excipient_mAb_aggregation,llm_nopad,10,0.9374474759861514,1.0,80,500
excipient_mAb_aggregation,llm_nopad,11,0.9625722929183274,1.0,80,500
excipient_mAb_aggregation,llm_nopad,12,0.9591662007838974,1.0,80,500
excipient_mAb_aggregation,llm_nopad,13,0.96797400403343,1.0,80,500
excipient_mAb_aggregation,llm_nopad,14,0.9537224784066146,1.0,80,500
excipient_mAb_aggregation,llm_nopad,15,0.9058701092821766,1.0,80,500
excipient_mAb_aggregation,llm_nopad,16,0.9357396327899679,1.0,80,500
excipient_mAb_aggregation,llm_nopad,17,0.952739433184233,1.0,80,500
excipient_mAb_aggregation,llm_nopad,18,0.9607752238109325,1.0,80,500
excipient_mAb_aggregation,llm_nopad,19,0.9729414777828552,1.0,80,500
excipient_mAb_aggregation,random,0,0.840456937277867,0.8681303340803174,80,500
excipient_mAb_aggregation,random,2,0.7893504822268707,0.8971584223491809,80,500
excipient_mAb_aggregation,random,3,0.794804992735286,0.8554537608902694,80,500
excipient_mAb_aggregation,random,4,0.8786750306237593,0.9088796989475091,80,500
excipient_mAb_aggregation,random,5,0.8058594772465623,0.8681303340803174,80,500
excipient_mAb_aggregation,random,6,0.7320061941863503,0.8681303340803174,80,500
excipient_mAb_aggregation,random,1,0.8676853346556501,0.8681303340803174,80,500
excipient_mAb_aggregation,random,7,0.8971584223491806,0.8971584223491809,80,500
excipient_mAb_aggregation,random,8,0.8246330397667909,0.8971584223491809,80,500
excipient_mAb_aggregation,random,9,0.8483392330006418,0.9088796989475091,80,500
excipient_mAb_aggregation,random,10,0.8559106355634533,0.8971584223491809,80,500
excipient_mAb_aggregation,random,11,0.8140357981571061,0.8681303340803174,80,500
excipient_mAb_aggregation,random,12,0.8087345430628873,0.8490650832331288,80,500
excipient_mAb_aggregation,random,13,0.9101209097240891,1.0,80,500
excipient_mAb_aggregation,random,14,0.7890823677288062,0.809971007661278,80,500
excipient_mAb_aggregation,random,15,0.8044598762729062,0.8681303340803174,80,500
excipient_mAb_aggregation,random,16,0.8189971626610719,0.9088796989475091,80,500
excipient_mAb_aggregation,random,17,0.7736585661490866,1.0,80,500
excipient_mAb_aggregation,random,18,0.7950523212128607,0.8673039065773639,80,500
excipient_mAb_aggregation,random,19,0.8420219640753263,0.8420219640753259,80,500
excipient_mAb_oxidation,egbo,2,0.982006100185666,1.0,80,500
excipient_mAb_oxidation,egbo,3,0.8611184539138748,0.9802333298316935,80,500
excipient_mAb_oxidation,egbo,0,0.9636588794008473,1.0,80,500
excipient_mAb_oxidation,egbo,1,0.637687336905529,0.7003421119944313,80,500
excipient_mAb_oxidation,egbo,4,0.9728743682406517,1.0,80,500
excipient_mAb_oxidation,egbo,7,0.9687857924378798,1.0,80,500
excipient_mAb_oxidation,egbo,5,0.9027090558502161,0.9802333298316935,80,500
excipient_mAb_oxidation,egbo,6,0.9354444568288341,0.9549128112991595,80,500
excipient_mAb_oxidation,egbo,9,0.6795701463743736,0.9094930430752168,80,500
excipient_mAb_oxidation,egbo,10,0.9247891048795582,1.0,80,500
excipient_mAb_oxidation,egbo,8,0.9670325923657886,1.0,80,500
excipient_mAb_oxidation,egbo,11,0.9445779113792551,0.9549128112991595,80,500
excipient_mAb_oxidation,egbo,12,0.9446282742934832,0.9549128112991595,80,500
excipient_mAb_oxidation,egbo,13,0.9255298354389712,1.0,80,500
excipient_mAb_oxidation,egbo,14,0.8720587956324851,1.0,80,500
excipient_mAb_oxidation,egbo,15,0.9645960135903439,1.0,80,500
excipient_mAb_oxidation,egbo,16,0.9395248554977164,1.0,80,500
excipient_mAb_oxidation,egbo,17,0.9347904132538772,1.0,80,500
excipient_mAb_oxidation,egbo,19,0.9553054030409709,1.0,80,500
excipient_mAb_oxidation,egbo,18,0.9594212718900059,1.0,80,500
excipient_mAb_oxidation,llm_nopad,0,0.9740570552618059,1.0,80,500
excipient_mAb_oxidation,llm_nopad,1,0.9403370182887147,1.0,80,500
excipient_mAb_oxidation,llm_nopad,2,0.9861156376078998,1.0,80,500
excipient_mAb_oxidation,llm_nopad,3,0.9383086434702795,1.0,80,500
excipient_mAb_oxidation,llm_nopad,4,0.9877561822175088,1.0,80,500
excipient_mAb_oxidation,llm_nopad,5,0.960734074226965,1.0,80,500
excipient_mAb_oxidation,llm_nopad,6,0.983772216937762,1.0,80,500
excipient_mAb_oxidation,llm_nopad,7,0.9919074276690799,1.0,80,500
excipient_mAb_oxidation,llm_nopad,8,0.9808292792281045,1.0,80,500
excipient_mAb_oxidation,llm_nopad,9,0.9421432827660501,1.0,80,500
excipient_mAb_oxidation,llm_nopad,10,0.9552974968236995,1.0,80,500
excipient_mAb_oxidation,llm_nopad,11,0.9896607102951877,1.0,80,500
excipient_mAb_oxidation,llm_nopad,12,0.9892573849770974,1.0,80,500
excipient_mAb_oxidation,llm_nopad,13,0.9503677462240595,1.0,80,500
excipient_mAb_oxidation,llm_nopad,14,0.9454698295208073,1.0,80,500
excipient_mAb_oxidation,llm_nopad,15,0.9817702400814261,1.0,80,500
excipient_mAb_oxidation,llm_nopad,16,0.9792429271952607,1.0,80,500
excipient_mAb_oxidation,llm_nopad,17,0.9641809119535681,1.0,80,500
excipient_mAb_oxidation,llm_nopad,18,0.9853195967924457,1.0,80,500
excipient_mAb_oxidation,llm_nopad,19,0.980813956857711,1.0,80,500
excipient_mAb_oxidation,random,0,0.9253821887286029,0.9802333298316935,80,500
excipient_mAb_oxidation,random,1,0.9348746487419299,1.0,80,500
excipient_mAb_oxidation,random,4,0.9229429109226489,0.92319904476374,80,500
excipient_mAb_oxidation,random,5,0.8595034984512845,0.9802333298316935,80,500
excipient_mAb_oxidation,random,2,0.9464622897067272,0.9549128112991595,80,500
excipient_mAb_oxidation,random,3,0.8262719940169843,0.9373884157828007,80,500
excipient_mAb_oxidation,random,6,0.9203465539249439,0.93552632058711,80,500
excipient_mAb_oxidation,random,7,0.9665992044680212,0.9802333298316935,80,500
excipient_mAb_oxidation,random,8,0.8936490318198608,0.9035277304614119,80,500
excipient_mAb_oxidation,random,10,0.8914595629965871,0.9373884157828007,80,500
excipient_mAb_oxidation,random,11,0.9373884157828011,0.9373884157828007,80,500
excipient_mAb_oxidation,random,9,0.8395081037107727,0.9342424783016943,80,500
excipient_mAb_oxidation,random,12,0.9356944494468207,0.9373884157828007,80,500
excipient_mAb_oxidation,random,13,0.8410502031884673,0.9507710377771225,80,500
excipient_mAb_oxidation,random,14,0.787110244628125,0.9035277304614119,80,500
excipient_mAb_oxidation,random,15,0.9345868277247854,0.9549128112991595,80,500
excipient_mAb_oxidation,random,16,0.9142961952751278,0.93552632058711,80,500
excipient_mAb_oxidation,random,17,0.925886013742676,0.9802333298316935,80,500
excipient_mAb_oxidation,random,18,0.9151880531884455,0.9241983025684256,80,500
excipient_mAb_oxidation,random,19,0.9101208343713275,0.9342424783016943,80,500
excipient_enzyme_labile,egbo,0,0.8029013592720503,0.8358965897164757,80,500
excipient_enzyme_labile,egbo,2,0.9615527590303765,1.0,80,500
excipient_enzyme_labile,egbo,1,0.9026286785391301,1.0,80,500
excipient_enzyme_labile,egbo,3,0.8694477307581338,0.9033453966033367,80,500
excipient_enzyme_labile,egbo,4,0.8485258914994872,0.8894457507427759,80,500
excipient_enzyme_labile,egbo,6,0.8002530362451714,0.8162149132647804,80,500
excipient_enzyme_labile,egbo,5,0.8363502232877553,0.9033453966033367,80,500
