protein,prior_level,condition,seed,final_hv,final_pf_size,n_obs
mAb_aggregation,L1,mo_egbo_real,0,14082.466543755512,8,40
mAb_aggregation,L1,mo_egbo_real,1,13888.882579075353,11,40
mAb_aggregation,L1,mo_egbo_real,2,12895.071352120218,14,40
mAb_aggregation,L1,mo_egbo_real,3,12815.04777426401,11,40
mAb_aggregation,L1,mo_egbo_real,4,15475.018356078363,7,40
mAb_aggregation,L1,mo_egbo_real,5,13369.356226513904,8,40
mAb_aggregation,L1,mo_egbo_real,6,13860.85814487692,10,40
mAb_aggregation,L1,mo_egbo_real,7,14050.196764330736,14,40
mAb_aggregation,L1,mo_egbo_real,8,14911.926351319493,8,40
mAb_aggregation,L1,mo_egbo_real,9,12319.732338597552,11,40
mAb_aggregation,L1,mo_egbo_real,10,14650.816501514057,13,40
mAb_aggregation,L1,mo_egbo_real,11,14499.928024437222,13,40
mAb_aggregation,L1,mo_egbo_real,12,14072.78240123824,12,40
mAb_aggregation,L1,mo_egbo_real,13,12526.529536643198,11,40
mAb_aggregation,L1,mo_egbo_real,14,12076.285633287294,9,40
mAb_aggregation,L1,mo_llm,0,13871.5644466003,11,40
mAb_aggregation,L1,mo_llm,1,13854.981142773984,6,40
mAb_aggregation,L1,mo_llm,2,11078.805621471765,13,40
mAb_aggregation,L1,mo_llm,3,13341.174094552565,11,40
mAb_aggregation,L1,mo_llm,4,12917.315578342183,8,40
mAb_aggregation,L1,mo_llm,5,13557.808149277287,8,40
mAb_aggregation,L1,mo_llm,6,13189.842389162366,8,40
mAb_aggregation,L1,mo_llm,7,14329.911581250988,9,40
mAb_aggregation,L1,mo_llm,8,14744.967776493397,6,40
mAb_aggregation,L1,mo_llm,9,12809.021089875972,8,40
mAb_aggregation,L1,mo_llm,10,13195.765069636072,11,40
mAb_aggregation,L1,mo_llm,11,14922.618370660293,7,40
mAb_aggregation,L1,mo_llm,12,14086.211387181604,10,40
mAb_aggregation,L1,mo_llm,13,12175.38297206275,5,40
mAb_aggregation,L1,mo_llm,14,12941.373993513494,6,40
mAb_aggregation,L1,mo_random,0,11772.953084522176,4,40
mAb_aggregation,L1,mo_random,1,11194.93095759153,8,40
mAb_aggregation,L1,mo_random,2,12403.258385093637,6,40
mAb_aggregation,L1,mo_random,3,8202.9532235981,9,40
mAb_aggregation,L1,mo_random,4,13826.112267412294,7,40
mAb_aggregation,L1,mo_random,5,12409.817302672174,7,40
mAb_aggregation,L1,mo_random,6,10981.067363497014,8,40
mAb_aggregation,L1,mo_random,7,13151.277065936823,8,40
mAb_aggregation,L1,mo_random,8,12861.882295072513,7,40
mAb_aggregation,L1,mo_random,9,10554.360483171966,6,40
mAb_aggregation,L1,mo_random,10,10564.850747617464,15,40
mAb_aggregation,L1,mo_random,11,11973.41522786647,10,40
mAb_aggregation,L1,mo_random,12,8585.285172741696,10,40
mAb_aggregation,L1,mo_random,13,12195.258184392967,11,40
mAb_aggregation,L1,mo_random,14,11407.25226187896,6,40
