protein,prior_level,condition,seed,final_hv,final_pf_size,n_obs
mAb_oxidation,L1,mo_egbo_real,0,2990.12481866868,11,40
mAb_oxidation,L1,mo_egbo_real,1,2620.102274975402,11,40
mAb_oxidation,L1,mo_egbo_real,2,2287.975362799606,11,40
mAb_oxidation,L1,mo_egbo_real,3,2183.4284514209917,8,40
mAb_oxidation,L1,mo_egbo_real,4,2806.0039171462845,10,40
mAb_oxidation,L1,mo_egbo_real,5,2586.586949797508,8,40
mAb_oxidation,L1,mo_egbo_real,6,2841.1761793560736,16,40
mAb_oxidation,L1,mo_egbo_real,7,1852.5559987689537,14,40
mAb_oxidation,L1,mo_egbo_real,8,2383.447182586166,12,40
mAb_oxidation,L1,mo_egbo_real,9,1763.0519016523701,14,40
mAb_oxidation,L1,mo_egbo_real,10,2855.0255082271524,13,40
mAb_oxidation,L1,mo_egbo_real,11,2626.565220954153,16,40
mAb_oxidation,L1,mo_egbo_real,12,2500.538755762378,13,40
mAb_oxidation,L1,mo_egbo_real,13,2521.7643673659527,13,40
mAb_oxidation,L1,mo_egbo_real,14,3092.102714265748,5,40
mAb_oxidation,L1,mo_llm,0,2152.677340874532,14,40
mAb_oxidation,L1,mo_llm,1,2142.1053336016207,14,40
mAb_oxidation,L1,mo_llm,2,2838.4323805179233,11,40
mAb_oxidation,L1,mo_llm,3,1820.871385596364,6,40
mAb_oxidation,L1,mo_llm,4,2055.305289516583,9,40
mAb_oxidation,L1,mo_llm,5,2351.046182666492,10,40
mAb_oxidation,L1,mo_llm,6,2235.375067583288,13,40
mAb_oxidation,L1,mo_llm,7,2742.4909610323216,11,40
mAb_oxidation,L1,mo_llm,8,2856.513543139905,9,40
mAb_oxidation,L1,mo_llm,9,2710.0206822524005,9,40
mAb_oxidation,L1,mo_llm,10,2686.6051920351088,9,40
mAb_oxidation,L1,mo_llm,11,2368.941458557324,12,40
mAb_oxidation,L1,mo_llm,12,2638.95286644194,8,40
mAb_oxidation,L1,mo_llm,13,2626.9482592216723,12,40
mAb_oxidation,L1,mo_llm,14,1970.5827529484347,6,40
mAb_oxidation,L1,mo_random,0,2076.1081608931504,7,40
mAb_oxidation,L1,mo_random,1,2256.969978345243,15,40
mAb_oxidation,L1,mo_random,2,2300.8892058564666,11,40
mAb_oxidation,L1,mo_random,3,1544.6916766818215,11,40
mAb_oxidation,L1,mo_random,4,2651.1670990830376,15,40
mAb_oxidation,L1,mo_random,5,2642.2379793331693,7,40
mAb_oxidation,L1,mo_random,6,2309.9093470445832,13,40
mAb_oxidation,L1,mo_random,7,2667.9651654771314,13,40
mAb_oxidation,L1,mo_random,8,2696.472210363813,8,40
mAb_oxidation,L1,mo_random,9,2108.6447716773614,12,40
mAb_oxidation,L1,mo_random,10,2422.463386619547,18,40
mAb_oxidation,L1,mo_random,11,2271.4667386022306,11,40
mAb_oxidation,L1,mo_random,12,1955.3283423309051,10,40
mAb_oxidation,L1,mo_random,13,2367.782862882301,11,40
mAb_oxidation,L1,mo_random,14,2248.465152225265,9,40
