protein,prior_level,condition,seed,final_hv,final_pf_size,n_obs
mAb_oxidation,blank,mo_llm,0,2119.9570051723795,12,40
mAb_oxidation,blank,mo_llm,1,2352.1921087866913,12,40
mAb_oxidation,blank,mo_llm,2,1784.2969053286881,11,40
mAb_oxidation,blank,mo_llm,3,2334.9169351818086,10,40
mAb_oxidation,blank,mo_llm,4,2427.8166140922217,11,40
mAb_oxidation,blank,mo_llm,5,2661.1718663507604,7,40
mAb_oxidation,blank,mo_llm,6,2031.2135617480972,12,40
mAb_oxidation,blank,mo_llm,7,2003.9589417933878,13,40
mAb_oxidation,blank,mo_llm,8,2745.770560340787,11,40
mAb_oxidation,blank,mo_llm,9,2959.2131524284687,7,40
mAb_oxidation,blank,mo_llm,10,2284.505261824117,12,40
mAb_oxidation,blank,mo_llm,11,2396.0284836898486,8,40
mAb_oxidation,blank,mo_llm,12,2334.7934860934724,14,40
mAb_oxidation,blank,mo_llm,13,3044.5944543239716,8,40
mAb_oxidation,blank,mo_llm,14,2851.501076068102,8,40
mAb_oxidation,blank,mo_egbo_real,0,2828.9598672928714,6,40
mAb_oxidation,blank,mo_egbo_real,1,2152.539068267284,15,40
mAb_oxidation,blank,mo_egbo_real,2,2273.3748195185367,16,40
mAb_oxidation,blank,mo_egbo_real,3,2167.1359362930443,10,40
mAb_oxidation,blank,mo_egbo_real,4,3028.403183615236,14,40
mAb_oxidation,blank,mo_egbo_real,5,1862.492471942878,15,40
mAb_oxidation,blank,mo_egbo_real,6,2577.3582855686227,13,40
mAb_oxidation,blank,mo_egbo_real,7,2415.3718771840695,13,40
mAb_oxidation,blank,mo_egbo_real,8,2146.418268936912,12,40
mAb_oxidation,blank,mo_egbo_real,9,1686.1468079256438,15,40
mAb_oxidation,blank,mo_egbo_real,10,2668.6714155910404,10,40
mAb_oxidation,blank,mo_egbo_real,11,2433.0282424891498,15,40
mAb_oxidation,blank,mo_egbo_real,12,2916.7616631498,12,40
mAb_oxidation,blank,mo_egbo_real,13,2862.5790142201895,7,40
mAb_oxidation,blank,mo_egbo_real,14,2634.80512237668,5,40
mAb_oxidation,blank,mo_random,0,2076.1081608931504,7,40
mAb_oxidation,blank,mo_random,1,2256.969978345243,15,40
mAb_oxidation,blank,mo_random,2,2300.8892058564666,11,40
mAb_oxidation,blank,mo_random,3,1544.6916766818215,11,40
mAb_oxidation,blank,mo_random,4,2651.1670990830376,15,40
mAb_oxidation,blank,mo_random,5,2642.2379793331693,7,40
mAb_oxidation,blank,mo_random,6,2309.9093470445832,13,40
mAb_oxidation,blank,mo_random,7,2667.9651654771314,13,40
mAb_oxidation,blank,mo_random,8,2696.472210363813,8,40
mAb_oxidation,blank,mo_random,9,2108.6447716773614,12,40
mAb_oxidation,blank,mo_random,10,2422.463386619547,18,40
mAb_oxidation,blank,mo_random,11,2271.4667386022306,11,40
mAb_oxidation,blank,mo_random,12,1955.3283423309051,10,40
mAb_oxidation,blank,mo_random,13,2367.782862882301,11,40
mAb_oxidation,blank,mo_random,14,2248.465152225265,9,40
