dataset,condition,seed,auc,final,budget,N
pareto_20210112,egbo,3,0.9312557497410141,1.0,36,72
pareto_20210112,egbo,0,0.6929268061105955,1.0,36,72
pareto_20210112,egbo,4,0.5793796351632287,0.8189965934075383,36,72
pareto_20210112,egbo,5,0.6652255583676263,1.0,36,72
pareto_20210112,egbo,1,0.7737030949452713,1.0,36,72
pareto_20210112,egbo,7,0.8848160139866152,1.0,36,72
pareto_20210112,egbo,6,0.5550613362248833,0.8189965934075383,36,72
pareto_20210112,egbo,9,0.2693459403563962,1.0,36,72
pareto_20210112,egbo,2,0.6116157476396433,1.0,36,72
pareto_20210112,egbo,8,0.7245414925849679,0.8189965934075383,36,72
pareto_20210112,egbo,10,0.6261868548832559,1.0,36,72
pareto_20210112,egbo,11,1.0,1.0,36,72
pareto_20210112,egbo,14,0.47813397860885637,0.6356425741637254,36,72
pareto_20210112,egbo,12,1.0,1.0,36,72
pareto_20210112,egbo,15,0.6969710900810135,1.0,36,72
pareto_20210112,egbo,13,0.6639293832779143,1.0,36,72
pareto_20210112,egbo,16,0.7310449789467034,1.0,36,72
pareto_20210112,egbo,18,0.7907094585367271,1.0,36,72
pareto_20210112,egbo,19,0.6716096544361463,1.0,36,72
pareto_20210112,egbo,17,0.6968488481324546,1.0,36,72
pareto_20210112,egbo,20,0.6618756124111007,1.0,36,72
pareto_20210112,egbo,22,0.7925405852079219,1.0,36,72
pareto_20210112,egbo,21,0.5333155475923994,1.0,36,72
pareto_20210112,egbo,24,0.46439733267802447,0.6356425741637254,36,72
pareto_20210112,egbo,23,1.0,1.0,36,72
pareto_20210112,egbo,25,0.7235324480923168,1.0,36,72
pareto_20210112,egbo,26,0.6005436734426108,1.0,36,72
pareto_20210112,egbo,29,0.6837482455698765,0.8189965934075383,36,72
pareto_20210112,egbo,27,0.5311664739260057,1.0,36,72
pareto_20210112,egbo,28,0.7737983223691826,1.0,36,72
pareto_20210112,llm_nopad,0,0.714866612970288,1.0,36,72
pareto_20210112,llm_nopad,1,0.8395225155243485,1.0,36,72
pareto_20210112,llm_nopad,2,0.580321899479333,1.0,36,72
pareto_20210112,llm_nopad,3,0.9312557497410141,1.0,36,72
pareto_20210112,llm_nopad,4,0.8008744031293282,1.0,36,72
pareto_20210112,llm_nopad,5,0.7400422308215128,1.0,36,72
pareto_20210112,llm_nopad,6,0.9108458419579712,1.0,36,72
pareto_20210112,llm_nopad,7,0.9725752414253847,1.0,36,72
pareto_20210112,llm_nopad,8,0.6798071106287283,1.0,36,72
pareto_20210112,llm_nopad,9,0.5917520735684281,1.0,36,72
pareto_20210112,llm_nopad,10,0.4176087335297879,1.0,36,72
pareto_20210112,llm_nopad,11,1.0,1.0,36,72
pareto_20210112,llm_nopad,12,1.0,1.0,36,72
pareto_20210112,llm_nopad,13,0.7537892462516133,1.0,36,72
pareto_20210112,llm_nopad,14,0.48532992916820045,1.0,36,72
pareto_20210112,llm_nopad,15,0.6848907522602583,1.0,36,72
pareto_20210112,llm_nopad,16,0.5361566120269495,0.6356425741637254,36,72
pareto_20210112,llm_nopad,17,0.6227935280539841,0.8189965934075383,36,72
pareto_20210112,llm_nopad,18,0.7907094585367271,1.0,36,72
pareto_20210112,llm_nopad,19,0.7802943073842629,1.0,36,72
pareto_20210112,llm_nopad,20,0.7737030949452713,1.0,36,72
pareto_20210112,llm_nopad,21,0.5610367338362852,1.0,36,72
