sample,concentration_realized,DMSO_content_realized,combustion_temp_realized,air_flow_rate_realized,spray_flow_rate_realized,spray_height_realized,num_passes_realized,concentration_requested,DMSO_content_requested,combustion_temp_requested,air_flow_rate_requested,spray_flow_rate_requested,spray_height_requested,num_passes_requested,Pd_ACN_robot_realized,acac_ACN_robot_realized,ACN_robot_realized,DMSO_robot_realized,Pd_ACN_robot_requested,acac_ACN_robot_requested,ACN_robot_requested,DMSO_robot_requested,conductance_mean,conductance_std,conductive_fraction,thickness_avg,thickness_std,sheet_conductance_avg,sheet_conductance_std,sheet_resistance_avg,sheet_resistance_std,conductivity_avg,conductivity_std,resistivity_avg,resistivity_std,campaign_ID,exp_num,running_best_conductivity,beta,nozzle_speed,SAMPLE_START,MIX_CHEMICALS_START,SPRAY_COAT_START,XRF_START,MICROSCOPE_START,CONDUCTIVITY_START,FLIR_CAMERA_START,MIX_CHEMICALS_FINISH,SPRAY_COAT_FINISH,XRF_FINISH,MICROSCOPE_FINISH,CONDUCTIVITY_FINISH,FLIR_CAMERA_FINISH,SAMPLE_FINISH
0,0.0167166278923476,0.3030145147414108,275.3768212788868,77.25721055647927,0.0066706130208771,17.859244629367964,8.0,0.0169769733903536,0.299992124042289,280.8593455339968,77.25721055647927,0.0066706130208771,17.859244629367964,7.937261427462761,0.1781862745098039,0.0297794117647055,0.0521628498727728,0.1130909090909091,0.1820756886369864,0.0329659743074929,0.0509613299194507,0.1139970071360698,0.1798949726400686,0.0292879873113143,1.0,22.66575626838917,0.3546935732303006,0.0396912352528863,0.0072247050656755,25.965866648287243,5.358345780053263,1749261.2928855375,307041.4733681894,5.876373900423642e-07,1.1514543080787837e-07,2022-07-11_12-55-37,1,1749261.2928855375,random,105.8927988562773,"2022-07-11 13:00:33,782","2022-07-11 13:00:34,824","2022-07-11 13:15:41,545","2022-07-11 13:29:19,695","2022-07-11 13:39:39,624","2022-07-11 13:45:51,204","2022-07-11 13:46:31,875","2022-07-11 13:14:20,333","2022-07-11 13:28:59,673","2022-07-11 13:38:00,014","2022-07-11 13:45:49,115","2022-07-11 13:46:30,825","2022-07-11 13:47:23,152","2022-07-11 13:53:02,130"
1,0.016290291022606,0.3165664975911798,271.44542315142564,77.25721055647927,0.0066706130208771,17.859244629367964,8.0,0.0169769733903536,0.299992124042289,280.8593455339968,77.25721055647927,0.0066706130208771,17.859244629367964,7.937261427462761,0.1718137254901962,0.0313725490196076,0.0525445292620872,0.1184545454545455,0.1820756886369864,0.0329659743074929,0.0509613299194507,0.1139970071360698,0.1812085816834767,0.0253603684001482,1.0,23.14203794285785,0.4020677386871972,0.0427668209075758,0.0006667582708359,23.38686421347476,0.3636312542496535,1848613.2169227863,52741.9406190507,5.412701520127699e-07,1.5149208310511352e-08,2022-07-11_12-55-37,1,1848613.2169227863,random,105.8927988562773,"2022-07-11 13:14:20,500","2022-07-11 13:17:09,515","2022-07-11 13:39:53,008","2022-07-11 13:53:33,307","2022-07-11 14:03:49,137","2022-07-11 14:09:47,058","2022-07-11 14:10:27,728","2022-07-11 13:28:58,824","2022-07-11 13:53:06,749","2022-07-11 14:02:11,256","2022-07-11 14:09:45,015","2022-07-11 14:10:26,676","2022-07-11 14:11:18,900","2022-07-11 14:14:10,718"
2,0.0151414649570164,0.1109442457718075,247.3271369342388,94.38990709463172,0.0046942234306724,18.0159006527271,5.0,0.0154775319999265,0.0965882359936083,254.25429172292456,94.38990709463172,0.0046942234306724,18.0159006527271,4.869611865062832,0.1621323529411763,0.0310049019607838,0.1470737913486001,0.0424545454545454,0.1659943873675889,0.0300543512981467,0.147247731656693,0.0367035296775711,0.111748643821184,0.0020708455961742,1.0,21.331343061744786,0.3332555004352741,0.0246557290957318,0.0005108322572624,40.57247525955911,0.8418171810786713,1156029.789184492,27674.811641904005,8.654391888604259e-07,2.138635091795101e-08,2022-07-11_12-55-37,2,1848613.2169227863,random,45.71809223051654,"2022-07-11 13:14:20,688","2022-07-11 13:28:59,483","2022-07-11 13:54:59,416","2022-07-11 14:06:41,246","2022-07-11 14:17:12,832","2022-07-11 14:23:09,949","2022-07-11 14:23:50,873","2022-07-11 13:38:29,079","2022-07-11 14:06:15,904","2022-07-11 14:15:32,179","2022-07-11 14:23:07,883","2022-07-11 14:23:49,815","2022-07-11 14:24:42,019","2022-07-11 14:27:57,850"
3,0.0151615571522155,0.1022903979905642,249.0435557089081,94.38990709463172,0.0046942234306724,18.0159006527271,5.0,0.0154775319999265,0.0965882359936083,254.25429172292456,94.38990709463172,0.0046942234306724,18.0159006527271,4.869611865062832,0.164338235294118,0.0261029411764707,0.1478371501272265,0.0385454545454543,0.1659943873675889,0.0300543512981467,0.147247731656693,0.0367035296775711,0.1320407435003187,0.0118912165359345,1.0,22.94699042334389,0.933985534564299,0.0291328886867951,0.0029333027029489,34.60077415497188,3.42553213768578,1267199.08157673,77255.16853386971,7.914964713464462e-07,4.8317320754867575e-08,2022-07-11_12-55-37,2,1848613.2169227863,random,45.71809223051654,"2022-07-11 13:14:20,995","2022-07-11 13:41:21,153","2022-07-11 14:08:06,218","2022-07-11 14:19:49,234","2022-07-11 14:30:01,689","2022-07-11 14:35:59,866","2022-07-11 14:36:41,199","2022-07-11 13:51:26,054","2022-07-11 14:19:23,031","2022-07-11 14:28:17,076","2022-07-11 14:35:57,791","2022-07-11 14:36:40,148","2022-07-11 14:37:32,551","2022-07-11 14:45:28,137"
4,0.0142158021198631,0.1420580116472531,227.25334918233165,65.45573802352467,0.0028986120332189,21.50562794032393,4.0,0.0109593766704382,0.1072169390748809,231.8039749970788,65.45573802352467,0.0028986120332189,21.50562794032393,4.156010590216296,0.1181372549019611,0.0243872549019605,0.1155216284987285,0.0427272727272728,0.1175377971338506,0.0212809740250337,0.2004387919926608,0.0407424368484547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-11_12-55-37,3,1848613.2169227863,random,24.09332461397227,"2022-07-11 13:56:26,845","2022-07-11 13:56:27,884","2022-07-11 14:30:07,592","2022-07-11 14:41:44,415","2022-07-11 14:51:44,265","2022-07-11 14:57:40,000","2022-07-11 14:58:20,934","2022-07-11 14:03:50,037","2022-07-11 14:41:18,572","2022-07-11 14:50:06,925","2022-07-11 14:57:37,945","2022-07-11 14:58:19,851","2022-07-11 14:59:12,099","2022-07-11 15:04:07,281"
5,0.0108285210984826,0.1055103969054876,226.6447186870957,65.45573802352467,0.0028986120332189,21.50562794032393,4.0,0.0109593766704382,0.1072169390748809,231.8039749970788,65.45573802352467,0.0028986120332189,21.50562794032393,4.156010590216296,0.1154411764705877,0.02046568627451,0.2008905852417299,0.0397272727272725,0.1175377971338506,0.0212809740250337,0.2004387919926608,0.0407424368484547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-11_12-55-37,3,1848613.2169227863,random,24.09332461397227,"2022-07-11 14:15:27,172","2022-07-11 14:15:28,223","2022-07-11 14:46:46,918","2022-07-11 14:58:24,144","2022-07-11 15:08:37,885","2022-07-11 15:14:34,242","2022-07-11 15:15:15,116","2022-07-11 14:26:23,845","2022-07-11 14:57:58,489","2022-07-11 15:06:59,661","2022-07-11 15:14:32,116","2022-07-11 15:15:14,068","2022-07-11 15:16:06,470","2022-07-11 15:20:41,303"
6,0.0192410328268788,0.0895384930962213,279.5640789004208,68.8276443397687,0.0053973666567973,22.64597963152553,3.0,0.0195881482957461,0.0797459458188101,285.6574549076362,68.8276443397687,0.0053973666567973,22.64597963152553,3.330558718991906,0.2073529411764706,0.0355392156862749,0.1019083969465646,0.033909090909091,0.2100801779013159,0.0380363671781357,0.1015799955094004,0.0303034594111478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-11_12-55-37,4,1848613.2169227863,random,35.95249315678489,"2022-07-11 14:31:34,790","2022-07-11 14:31:35,845","2022-07-11 15:01:08,017","2022-07-11 15:12:04,051","2022-07-11 15:22:22,325","2022-07-11 15:28:11,873","2022-07-11 15:28:53,151","2022-07-11 14:43:53,895","2022-07-11 15:11:37,898","2022-07-11 15:20:38,423","2022-07-11 15:28:09,773","2022-07-11 15:28:52,052","2022-07-11 15:29:44,099","2022-07-11 15:35:24,933"
7,0.019740575406208,0.0766924546503489,282.4327866330058,68.8276443397687,0.0053973666567973,22.64597963152553,3.0,0.0195881482957461,0.0797459458188101,285.6574549076362,68.8276443397687,0.0053973666567973,22.64597963152553,3.330558718991906,0.2122549019607846,0.0357843137254906,0.1000000000000002,0.0289090909090909,0.2100801779013159,0.0380363671781357,0.1015799955094004,0.0303034594111478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-11_12-55-37,4,1848613.2169227863,random,35.95249315678489,"2022-07-11 14:48:13,915","2022-07-11 14:48:14,955","2022-07-11 15:17:41,287","2022-07-11 15:29:30,143","2022-07-11 15:40:11,974","2022-07-11 15:46:01,028","2022-07-11 15:46:42,509","2022-07-11 14:59:45,975","2022-07-11 15:29:03,835","2022-07-11 15:38:11,185","2022-07-11 15:45:58,916","2022-07-11 15:46:41,416","2022-07-11 15:47:33,885","2022-07-11 15:50:34,196"
8,0.0100817411194262,0.2292550217215367,261.63867137582264,86.5980480473481,0.0043597726498779,13.14300307935979,8.0,0.010593816645144,0.2204154786565705,269.4550824517896,86.5980480473481,0.0043597726498779,13.14300307935979,8.461383934901882,0.1067401960784318,0.0213235294117645,0.1656488549618319,0.0873636363636362,0.1136172164853934,0.0205711276864312,0.1620537739386785,0.0837578818894967,0.0545089241970949,0.0072821943243002,1.0,21.51722700102836,0.4498377299719284,0.0120266092039014,0.0017963578604693,84.65814538253369,12.673753870316188,557892.6495205339,73037.73702354265,1.817698911866546e-06,2.41531260370097e-07,2022-07-11_12-55-37,5,1848613.2169227863,random,73.77942051900294,"2022-07-11 15:05:28,486","2022-07-11 15:05:29,549","2022-07-11 15:36:39,093","2022-07-11 15:50:39,055","2022-07-11 16:00:59,687","2022-07-11 16:06:54,549","2022-07-11 16:07:35,343","2022-07-11 15:16:00,169","2022-07-11 15:50:12,806","2022-07-11 15:59:21,274","2022-07-11 16:06:52,476","2022-07-11 16:07:34,290","2022-07-11 16:08:26,569","2022-07-11 16:12:56,522"
9,0.0102593745721533,0.2262804659675653,260.1906022564421,86.5980480473481,0.0043597726498779,13.14300307935979,8.0,0.010593816645144,0.2204154786565705,269.4550824517896,86.5980480473481,0.0043597726498779,13.14300307935979,8.461383934901882,0.1064950980392156,0.0216911764705877,0.1618320610687025,0.0848181818181819,0.1136172164853934,0.0205711276864312,0.1620537739386785,0.0837578818894967,0.0483797278688016,0.0048340722834569,1.0,20.85597978618561,0.5098803150022594,0.010674290293555,0.0011924597666238,94.51497394605478,9.317825690309483,511810.4239314882,55883.72887606379,1.970252278427408e-06,1.878066105163267e-07,2022-07-11_12-55-37,5,1848613.2169227863,random,73.77942051900294,"2022-07-11 15:21:29,076","2022-07-11 15:21:30,099","2022-07-11 15:52:04,486","2022-07-11 16:06:02,531","2022-07-11 16:16:12,004","2022-07-11 16:22:07,619","2022-07-11 16:22:48,459","2022-07-11 15:33:50,502","2022-07-11 16:05:36,598","2022-07-11 16:14:31,780","2022-07-11 16:22:05,488","2022-07-11 16:22:47,383","2022-07-11 16:23:39,830","2022-07-11 16:29:35,556"
