dataset,condition,label,n_qualifying,mid_auc_mean,mid_auc_std,threshold
coatings,fixed_random,Random,12,0.7972151497317347,0.09206398276177298,0.8
coatings,fixed_lhs,LHS,12,0.8371911994909245,0.06577459075563,0.8
coatings,fixed_ucb_low,UCB β=0.2,12,0.8552261244599927,0.10489681144288023,0.8
coatings,fixed_ucb_high,UCB β=400,12,0.8706757662423169,0.06609120724069781,0.8
coatings,fixed_ei,EI (fixed),12,0.8797766927424835,0.10315963766580602,0.8
coatings,mock_approach_a,Mock-A,12,0.8802568731933719,0.07505688271415498,0.8
coatings,mock_approach_b,Mock-B,12,0.8526214371505679,0.06311514117494865,0.8
coatings,mock_approach_c,Mock-C,12,0.7846049884794075,0.09973525860483366,0.8
coatings,approach_a,LLM-A,12,0.9032573661216651,0.0673330161053718,0.8
coatings,approach_b,LLM-B,12,0.8405335528690578,0.0732555060196496,0.8
coatings,approach_c,LLM-C,12,0.8978016366952088,0.06897385141312816,0.8
pareto_20201218,fixed_random,Random,15,0.7088191333794126,0.14139518712046856,0.8
pareto_20201218,fixed_lhs,LHS,15,0.6778790084571988,0.1099330281821794,0.8
pareto_20201218,fixed_ucb_low,UCB β=0.2,15,0.5846381708195654,0.17402733647402283,0.8
pareto_20201218,fixed_ucb_high,UCB β=400,15,0.693723225756246,0.10534439526635607,0.8
pareto_20201218,fixed_ei,EI (fixed),15,0.6295512256850418,0.1401590987847186,0.8
pareto_20201218,mock_approach_a,Mock-A,15,0.6415619816945674,0.1419249379462726,0.8
pareto_20201218,mock_approach_b,Mock-B,15,0.6457552269478513,0.12014289896022672,0.8
pareto_20201218,mock_approach_c,Mock-C,15,0.6720613330966887,0.13380151147652133,0.8
pareto_20201218,approach_a,LLM-A,15,0.6979408907655837,0.11153536584238027,0.8
pareto_20201218,approach_b,LLM-B,15,0.7237818044170202,0.11619679839352415,0.8
pareto_20201218,approach_c,LLM-C,15,0.6551711024014709,0.0945635451585721,0.8
pareto_20201223,fixed_random,Random,13,0.7018370771431075,0.11180908950840018,0.8
pareto_20201223,fixed_lhs,LHS,13,0.8080979014657012,0.04012557790802455,0.8
pareto_20201223,fixed_ucb_low,UCB β=0.2,13,0.7292735961118504,0.16748242726699042,0.8
pareto_20201223,fixed_ucb_high,UCB β=400,13,0.784558449742634,0.08365136220616724,0.8
pareto_20201223,fixed_ei,EI (fixed),13,0.725590066756448,0.10217532064713382,0.8
pareto_20201223,mock_approach_a,Mock-A,13,0.7786063267150263,0.10061854144808886,0.8
pareto_20201223,mock_approach_b,Mock-B,13,0.8104214678787612,0.04140802969674222,0.8
pareto_20201223,mock_approach_c,Mock-C,13,0.654975781738259,0.13017755011385415,0.8
pareto_20201223,approach_a,LLM-A,13,0.8220846632223344,0.06274744924822134,0.8
pareto_20201223,approach_b,LLM-B,13,0.7782705462567239,0.07128922986564594,0.8
pareto_20201223,approach_c,LLM-C,13,0.7490406101691107,0.07839296566351045,0.8
pareto_20210104,fixed_random,Random,17,0.70869777131037,0.14198233541190025,0.8
pareto_20210104,fixed_lhs,LHS,17,0.6620814126266392,0.09791021651343429,0.8
pareto_20210104,fixed_ucb_low,UCB β=0.2,17,0.6233527778024425,0.20839700023614083,0.8
pareto_20210104,fixed_ucb_high,UCB β=400,17,0.7251205162424318,0.09974489343355081,0.8
pareto_20210104,fixed_ei,EI (fixed),17,0.6452299545650524,0.14783856126061293,0.8
pareto_20210104,mock_approach_a,Mock-A,17,0.6937552170206607,0.1478001688004839,0.8
pareto_20210104,mock_approach_b,Mock-B,17,0.6579693206701045,0.09362694501236372,0.8
pareto_20210104,mock_approach_c,Mock-C,17,0.6753551453772211,0.1430590855472284,0.8
pareto_20210104,approach_a,LLM-A,17,0.7141015473388964,0.1505379110091538,0.8
pareto_20210104,approach_b,LLM-B,17,0.7129102047955375,0.1378306891590086,0.8
pareto_20210104,approach_c,LLM-C,17,0.7036421510274201,0.10283367133900197,0.8
pareto_20210112,fixed_random,Random,16,0.6911972658863899,0.13304013092124145,0.8
pareto_20210112,fixed_lhs,LHS,16,0.7171212963762668,0.11831648417356865,0.8
pareto_20210112,fixed_ucb_low,UCB β=0.2,16,0.562540777970255,0.18351523297623154,0.8
pareto_20210112,fixed_ucb_high,UCB β=400,16,0.6706162523794745,0.0953709212234289,0.8
pareto_20210112,fixed_ei,EI (fixed),16,0.6559814738035155,0.13742635536115347,0.8
pareto_20210112,mock_approach_a,Mock-A,16,0.6486237492336374,0.09538049172997445,0.8
pareto_20210112,mock_approach_b,Mock-B,16,0.7190419723103498,0.11365797066635745,0.8
pareto_20210112,mock_approach_c,Mock-C,16,0.67042349801215,0.13648001525667303,0.8
pareto_20210112,approach_a,LLM-A,16,0.691587794528185,0.07781064351120455,0.8
pareto_20210112,approach_b,LLM-B,16,0.67684344961848,0.09987324953135483,0.8
pareto_20210112,approach_c,LLM-C,16,0.658225334326549,0.13997183768566518,0.8
