dataset,condition,seed,global_best,global_min,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
coatings,approach_c,0,4081245.0762726846,0.0,0.9650420406963574,4003186.157564925,0.9808737487582958,5,0,0.0,0
coatings,approach_c,1,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,0,0.0,0
coatings,approach_c,2,4081245.0762726846,0.0,0.9013774320756702,4081245.0762726846,1.0,19,0,0.0,0
coatings,approach_c,3,4081245.0762726846,0.0,0.7927912134843,3972786.146667793,0.9734250387864615,63,0,0.0,0
coatings,approach_c,4,4081245.0762726846,0.0,0.9786639883915659,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,approach_c,5,4081245.0762726846,0.0,0.9943763432466148,4081245.0762726846,1.0,0,0,0.0,0
coatings,approach_c,6,4081245.0762726846,0.0,0.8847013277582386,4019112.594109251,0.9847760962641876,62,0,0.0,0
coatings,approach_c,7,4081245.0762726846,0.0,0.9026035393258587,3972786.146667793,0.9734250387864615,51,0,0.0,0
coatings,approach_c,8,4081245.0762726846,0.0,0.9225650928121666,4019112.594109251,0.9847760962641876,36,0,0.0,0
coatings,approach_c,9,4081245.0762726846,0.0,0.9177595068198832,3972786.146667793,0.9734250387864615,9,0,0.0,0
coatings,approach_c,10,4081245.0762726846,0.0,0.9273665592818325,3972786.146667793,0.9734250387864615,11,0,0.0,0
coatings,approach_c,11,4081245.0762726846,0.0,0.9475362136793083,4019112.594109251,0.9847760962641876,6,0,0.0,0
coatings,approach_c,12,4081245.0762726846,0.0,0.9255469315290275,3972786.146667793,0.9734250387864615,13,0,0.0,0
coatings,approach_c,13,4081245.0762726846,0.0,0.9278083303033076,3849179.6928702956,0.9431385817157716,12,0,0.0,0
coatings,approach_c,14,4081245.0762726846,0.0,0.9847760962641876,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,approach_c,15,4081245.0762726846,0.0,0.9651011584267656,4019112.594109251,0.9847760962641876,7,0,0.0,0
coatings,approach_c,16,4081245.0762726846,0.0,0.9392699912366089,3972786.146667793,0.9734250387864615,7,0,0.0,0
coatings,approach_c,17,4081245.0762726846,0.0,0.9489917099341549,4019112.594109251,0.9847760962641876,16,0,0.0,0
coatings,approach_c,18,4081245.0762726846,0.0,0.9408267286064211,4019112.594109251,0.9847760962641876,39,0,0.0,0
coatings,approach_c,19,4081245.0762726846,0.0,0.916681882905627,4019112.594109251,0.9847760962641876,36,0,0.0,0
coatings,ada_original,0,4081245.0762726846,0.0,0.9587849566026904,4019112.594109251,0.9847760962641876,6,1,0.1098901098901099,0
coatings,ada_original,1,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,1,0.1098901098901099,0
coatings,ada_original,2,4081245.0762726846,0.0,0.8198828202272457,3972786.146667793,0.9734250387864615,40,1,0.1098901098901099,0
coatings,ada_original,3,4081245.0762726846,0.0,0.6973574255843233,3457048.293078129,0.8470572652391115,-1,1,0.1098901098901099,0
coatings,ada_original,4,4081245.0762726846,0.0,0.9807845156126795,4019112.594109251,0.9847760962641876,0,1,0.1098901098901099,0
coatings,ada_original,5,4081245.0762726846,0.0,0.9537887644219482,3972786.146667793,0.9734250387864615,0,1,0.1098901098901099,0
coatings,ada_original,6,4081245.0762726846,0.0,0.896928975860872,3972786.146667793,0.9734250387864615,44,1,0.1098901098901099,0
coatings,ada_original,7,4081245.0762726846,0.0,0.9696421587889045,4019112.594109251,0.9847760962641876,10,1,0.1098901098901099,0
coatings,ada_original,8,4081245.0762726846,0.0,0.9303018407757605,4019112.594109251,0.9847760962641876,7,1,0.1098901098901099,0
coatings,ada_original,9,4081245.0762726846,0.0,0.8413023835678116,4081245.0762726846,1.0,35,1,0.1098901098901099,0
coatings,ada_original,10,4081245.0762726846,0.0,0.8911841064027717,4019112.594109251,0.9847760962641876,38,1,0.1098901098901099,0
coatings,ada_original,11,4081245.0762726846,0.0,0.777751515121849,3849179.6928702956,0.9431385817157716,70,1,0.1098901098901099,0
coatings,ada_original,12,4081245.0762726846,0.0,0.8660420521383758,3972786.146667793,0.9734250387864615,50,1,0.1098901098901099,0
coatings,ada_original,13,4081245.0762726846,0.0,0.95258153384624,3972786.146667793,0.9734250387864615,13,1,0.1098901098901099,0
coatings,ada_original,14,4081245.0762726846,0.0,0.994813834991097,4081245.0762726846,1.0,0,1,0.1098901098901099,0
coatings,ada_original,15,4081245.0762726846,0.0,0.9368312694035599,3972786.146667793,0.9734250387864615,20,1,0.1098901098901099,0
coatings,ada_original,16,4081245.0762726846,0.0,0.9283096510784756,4081245.0762726846,1.0,27,1,0.1098901098901099,0
coatings,ada_original,17,4081245.0762726846,0.0,0.885618945254388,3972786.146667793,0.9734250387864615,47,1,0.1098901098901099,0
coatings,ada_original,18,4081245.0762726846,0.0,0.8921054556293051,3640900.9983031014,0.8921054556293051,-1,1,0.1098901098901099,0
coatings,ada_original,19,4081245.0762726846,0.0,0.8794653112634178,4019112.594109251,0.9847760962641876,46,1,0.1098901098901099,0
pareto_20201218,approach_c,0,5.44426438452636,-1.9304201262287157,0.7966426454630992,5.44426438452636,0.9999999999998163,20,0,0.0,0
pareto_20201218,approach_c,1,5.44426438452636,-1.9304201262287157,0.7875013717024779,5.44426438452636,0.9999999999998163,38,0,0.0,0
pareto_20201218,approach_c,2,5.44426438452636,-1.9304201262287157,0.8105166817489522,5.44426438452636,0.9999999999998163,19,0,0.0,0
pareto_20201218,approach_c,3,5.44426438452636,-1.9304201262287157,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,approach_c,4,5.44426438452636,-1.9304201262287157,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,approach_c,5,5.44426438452636,-1.9304201262287157,0.7535388638989992,5.44426438452636,0.9999999999998163,25,0,0.0,0
pareto_20201218,approach_c,6,5.44426438452636,-1.9304201262287157,0.8042086516405471,5.44426438452636,0.9999999999998163,23,0,0.0,0
pareto_20201218,approach_c,7,5.44426438452636,-1.9304201262287157,0.822377551015617,5.44426438452636,0.9999999999998163,23,0,0.0,0
pareto_20201218,approach_c,8,5.44426438452636,-1.9304201262287157,0.6301965717815706,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,approach_c,9,5.44426438452636,-1.9304201262287157,0.7182387625185912,5.44426438452636,0.9999999999998163,39,0,0.0,0
pareto_20201218,approach_c,10,5.44426438452636,-1.9304201262287157,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,approach_c,11,5.44426438452636,-1.9304201262287157,0.8929434160989864,5.44426438452636,0.9999999999998163,15,0,0.0,0
pareto_20201218,approach_c,12,5.44426438452636,-1.9304201262287157,0.6514555043587744,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,approach_c,13,5.44426438452636,-1.9304201262287157,0.8865814677403764,5.44426438452636,0.9999999999998163,13,0,0.0,0
pareto_20201218,approach_c,14,5.44426438452636,-1.9304201262287157,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,approach_c,15,5.44426438452636,-1.9304201262287157,0.8404897649790315,5.44426438452636,0.9999999999998163,26,0,0.0,0
pareto_20201218,approach_c,16,5.44426438452636,-1.9304201262287157,0.800246138457719,5.44426438452636,0.9999999999998163,45,0,0.0,0
pareto_20201218,approach_c,17,5.44426438452636,-1.9304201262287157,0.6505178847915936,5.44426438452636,0.9999999999998163,51,0,0.0,0
pareto_20201218,approach_c,18,5.44426438452636,-1.9304201262287157,0.8135239081020148,5.44426438452636,0.9999999999998163,28,0,0.0,0
pareto_20201218,approach_c,19,5.44426438452636,-1.9304201262287157,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201223,approach_c,0,4.667169677008169,-1.8162555193823233,0.8238658746507833,3.8324096192891406,0.8211421234946482,-1,0,0.0,0
pareto_20201223,approach_c,1,4.667169677008169,-1.8162555193823233,0.9141647064184774,4.667169677008169,0.9999999999997857,42,0,0.0,0
pareto_20201223,approach_c,2,4.667169677008169,-1.8162555193823233,0.7323471666149884,3.8324096192891406,0.8211421234946482,-1,0,0.0,0
pareto_20201223,approach_c,3,4.667169677008169,-1.8162555193823233,0.8188328447843577,3.8324096192891406,0.8211421234946482,-1,0,0.0,0
pareto_20201223,approach_c,4,4.667169677008169,-1.8162555193823233,0.7519320471767209,3.8324096192891406,0.8211421234946482,-1,0,0.0,0
pareto_20201223,approach_c,5,4.667169677008169,-1.8162555193823233,0.8654326344534526,4.667169677008169,0.9999999999997857,38,0,0.0,0
pareto_20201223,approach_c,6,4.667169677008169,-1.8162555193823233,0.8752245985062862,4.667169677008169,0.9999999999997857,23,0,0.0,0
pareto_20201223,approach_c,7,4.667169677008169,-1.8162555193823233,0.9357831162280654,4.667169677008169,0.9999999999997857,37,0,0.0,0
pareto_20201223,approach_c,8,4.667169677008169,-1.8162555193823233,1.0,4.667169677008169,0.9999999999997857,0,0,0.0,0
pareto_20201223,approach_c,9,4.667169677008169,-1.8162555193823233,0.9841229943291144,4.667169677008169,0.9999999999997857,10,0,0.0,0
pareto_20201223,approach_c,10,4.667169677008169,-1.8162555193823233,0.9019025216211171,4.667169677008169,0.9999999999997857,48,0,0.0,0
