dataset,condition,seed,global_best,global_min,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
coatings,approach_d,0,4081245.0762726846,0.0,0.928152104441619,4081245.0762726846,1.0,10,7,0.7692307692307693,0
coatings,approach_d,1,4081245.0762726846,0.0,0.9829050428337931,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,approach_d,2,4081245.0762726846,0.0,0.9236995421041305,4019112.594109251,0.9847760962641876,6,9,0.9890109890109889,0
coatings,approach_d,3,4081245.0762726846,0.0,0.8760149973701155,4081245.0762726846,1.0,22,7,0.7692307692307693,0
coatings,approach_d,4,4081245.0762726846,0.0,0.9830297797291527,4019112.594109251,0.9847760962641876,0,1,0.1098901098901099,0
coatings,approach_d,5,4081245.0762726846,0.0,0.9792854350050558,4019112.594109251,0.9847760962641876,0,2,0.2197802197802198,0
coatings,approach_d,6,4081245.0762726846,0.0,0.8959436296071931,4019112.594109251,0.9847760962641876,46,2,0.2197802197802198,0
coatings,approach_d,7,4081245.0762726846,0.0,0.9689262799573453,4019112.594109251,0.9847760962641876,8,2,0.2197802197802198,0
coatings,approach_d,8,4081245.0762726846,0.0,0.9393085081321155,4019112.594109251,0.9847760962641876,19,3,0.32967032967032966,0
coatings,approach_d,9,4081245.0762726846,0.0,0.8712546201209724,3972786.146667793,0.9734250387864615,41,4,0.4395604395604396,0
coatings,approach_d,10,4081245.0762726846,0.0,0.9215871416768038,4081245.0762726846,1.0,16,1,0.1098901098901099,0
coatings,approach_d,11,4081245.0762726846,0.0,0.94618797568651,4081245.0762726846,1.0,8,1,0.1098901098901099,0
coatings,approach_d,12,4081245.0762726846,0.0,0.9377530132369375,3972786.146667793,0.9734250387864615,12,2,0.2197802197802198,0
coatings,approach_d,13,4081245.0762726846,0.0,0.9569413371605908,4081245.0762726846,1.0,14,4,0.4395604395604396,0
coatings,approach_d,14,4081245.0762726846,0.0,0.9986616348364121,4081245.0762726846,1.0,0,0,0.0,0
coatings,approach_d,15,4081245.0762726846,0.0,0.9472935063632872,4019112.594109251,0.9847760962641876,16,3,0.32967032967032966,0
coatings,approach_d,16,4081245.0762726846,0.0,0.9510362048345686,4081245.0762726846,1.0,15,2,0.2197802197802198,0
coatings,approach_d,17,4081245.0762726846,0.0,0.9616836413368955,4081245.0762726846,1.0,12,2,0.2197802197802198,0
coatings,approach_d,18,4081245.0762726846,0.0,0.9695007159397565,4019112.594109251,0.9847760962641876,15,3,0.32967032967032966,0
coatings,approach_d,19,4081245.0762726846,0.0,0.8872642170174597,4019112.594109251,0.9847760962641876,32,5,0.5494505494505495,0
coatings,ada_original,0,4081245.0762726846,0.0,0.9587849566026904,4019112.594109251,0.9847760962641876,6,1,0.1098901098901099,0
coatings,ada_original,1,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,1,0.1098901098901099,0
coatings,ada_original,2,4081245.0762726846,0.0,0.8198828202272457,3972786.146667793,0.9734250387864615,40,1,0.1098901098901099,0
coatings,ada_original,3,4081245.0762726846,0.0,0.6973574255843233,3457048.293078129,0.8470572652391115,-1,1,0.1098901098901099,0
coatings,ada_original,4,4081245.0762726846,0.0,0.9807845156126795,4019112.594109251,0.9847760962641876,0,1,0.1098901098901099,0
coatings,ada_original,5,4081245.0762726846,0.0,0.9537887644219482,3972786.146667793,0.9734250387864615,0,1,0.1098901098901099,0
coatings,ada_original,6,4081245.0762726846,0.0,0.896928975860872,3972786.146667793,0.9734250387864615,44,1,0.1098901098901099,0
coatings,ada_original,7,4081245.0762726846,0.0,0.9696421587889045,4019112.594109251,0.9847760962641876,10,1,0.1098901098901099,0
coatings,ada_original,8,4081245.0762726846,0.0,0.9303018407757605,4019112.594109251,0.9847760962641876,7,1,0.1098901098901099,0
coatings,ada_original,9,4081245.0762726846,0.0,0.8413023835678116,4081245.0762726846,1.0,35,1,0.1098901098901099,0
coatings,ada_original,10,4081245.0762726846,0.0,0.8911841064027717,4019112.594109251,0.9847760962641876,38,1,0.1098901098901099,0
coatings,ada_original,11,4081245.0762726846,0.0,0.777751515121849,3849179.6928702956,0.9431385817157716,70,1,0.1098901098901099,0
coatings,ada_original,12,4081245.0762726846,0.0,0.8660420521383758,3972786.146667793,0.9734250387864615,50,1,0.1098901098901099,0
coatings,ada_original,13,4081245.0762726846,0.0,0.95258153384624,3972786.146667793,0.9734250387864615,13,1,0.1098901098901099,0
coatings,ada_original,14,4081245.0762726846,0.0,0.994813834991097,4081245.0762726846,1.0,0,1,0.1098901098901099,0
