dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
pareto_20201218,rule_router,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.8056719832475365,5.44426438452636,0.9999999999998163,14,0,0.0,0
pareto_20201218,rule_router,1,5.44426438452636,-1.9304201262287157,-0.14795900137072068,0.49245201099569613,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,2,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,rule_router,3,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5723407355013297,2.5157953071410795,0.46210013501383007,-1,0,0.0,0
pareto_20201218,rule_router,4,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7085693310784551,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,5,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.7769586893379937,5.44426438452636,0.9999999999998163,12,0,0.0,0
pareto_20201218,rule_router,6,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.6603961688257212,5.44426438452636,0.9999999999998163,31,0,0.0,0
pareto_20201218,rule_router,7,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7204833118002107,5.44426438452636,0.9999999999998163,31,0,0.0,0
pareto_20201218,rule_router,8,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6654490324160767,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,9,5.44426438452636,-1.9304201262287157,0.14231863694654603,0.6234554149304763,5.44426438452636,0.9999999999998163,25,1,0.3125,0
pareto_20201218,rule_router,10,5.44426438452636,-1.9304201262287157,0.16862640616095434,0.7324458302209406,5.44426438452636,0.9999999999998163,17,0,0.0,0
pareto_20201218,rule_router,11,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5630383230929281,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,12,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7814269983088413,5.44426438452636,0.9999999999998163,24,1,0.3125,0
pareto_20201218,rule_router,13,5.44426438452636,-1.9304201262287157,0.03707029581911419,0.6037094333869442,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,14,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6696249276402142,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,15,5.44426438452636,-1.9304201262287157,0.20270980841072048,0.7353348928795407,5.44426438452636,0.9999999999998163,19,0,0.0,0
pareto_20201218,rule_router,16,5.44426438452636,-1.9304201262287157,0.46210013501391495,0.8138605281320975,5.44426438452636,0.9999999999998163,15,0,0.0,0
pareto_20201218,rule_router,17,5.44426438452636,-1.9304201262287157,0.006682810262795429,0.5406210276812513,3.31642191643393,0.6091588655869149,-1,0,0.0,0
pareto_20201218,rule_router,18,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.670839069748874,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,rule_router,19,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.6869092764479185,5.44426438452636,0.9999999999998163,25,1,0.3125,0
pareto_20201218,approach_d,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.555821675994369,2.1685893784688846,0.39832550833351,-1,1,0.3125,0
pareto_20201218,approach_d,1,5.44426438452636,-1.9304201262287157,-0.14795900137072068,0.558893677530073,5.44426438452636,0.9999999999998163,24,1,0.3125,0
pareto_20201218,approach_d,2,5.44426438452636,-1.9304201262287157,1.0,1.0,5.44426438452636,0.9999999999998163,0,0,0.0,0
pareto_20201218,approach_d,3,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.670839069748874,3.295055144471652,0.6052342266544262,-1,1,0.3125,0
pareto_20201218,approach_d,4,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.8633918739430259,5.44426438452636,0.9999999999998163,15,0,0.0,0
pareto_20201218,approach_d,5,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.44923065707253773,2.0230607498933537,0.3715948761861947,-1,1,0.3125,0
pareto_20201218,approach_d,6,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.9028359916237682,5.44426438452636,0.9999999999998163,7,0,0.0,0
pareto_20201218,approach_d,7,5.44426438452636,-1.9304201262287157,0.6091588655870268,0.7745833159679119,5.44426438452636,0.9999999999998163,25,1,0.3125,0
pareto_20201218,approach_d,8,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6600589950832794,3.295055144471652,0.6052342266544262,-1,0,0.0,0
pareto_20201218,approach_d,9,5.44426438452636,-1.9304201262287157,0.14231863694654603,0.7462443245694249,5.44426438452636,0.9999999999998163,22,1,0.3125,0
pareto_20201218,approach_d,10,5.44426438452636,-1.9304201262287157,0.16862640616095434,0.5250650134073371,3.31642191643393,0.6091588655869149,-1,1,0.3125,0
pareto_20201218,approach_d,11,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5416381944317181,2.1685893784688846,0.39832550833351,-1,1,0.3125,0
pareto_20201218,approach_d,12,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.8360702487316309,5.44426438452636,0.9999999999998163,18,0,0.0,0
pareto_20201218,approach_d,13,5.44426438452636,-1.9304201262287157,0.03707029581911419,0.6237336650856735,5.44426438452636,0.9999999999998163,24,1,0.3125,0
pareto_20201218,approach_d,14,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6183320633137195,3.295055144471652,0.6052342266544262,-1,1,0.3125,0
pareto_20201218,approach_d,15,5.44426438452636,-1.9304201262287157,0.20270980841072048,0.5905232835059597,3.31642191643393,0.6091588655869149,-1,1,0.3125,0
pareto_20201218,approach_d,16,5.44426438452636,-1.9304201262287157,0.46210013501391495,0.6722463441504409,3.295055144471652,0.6052342266544262,-1,1,0.3125,0
pareto_20201218,approach_d,17,5.44426438452636,-1.9304201262287157,0.006682810262795429,0.5073668923338523,2.1685893784688846,0.39832550833351,-1,1,0.3125,0
pareto_20201218,approach_d,18,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5924627219547978,2.5157953071410795,0.46210013501383007,-1,1,0.3125,0
pareto_20201218,approach_d,19,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.6361799066498197,3.295055144471652,0.6052342266544262,-1,1,0.3125,0
