fcs,dataset,condition,full_auc,cond_auc,n_qualifying,regime
5,pareto_20201218,rule_router,0.5240743664055765,0.4404597822579812,19,flat
5,pareto_20201218,approach_d,0.5660760979243313,0.46206014027651116,19,flat
5,pareto_20201218,fixed_lhs,0.5445452222521434,0.44110702647340255,19,flat
5,pareto_20201218,fixed_random,0.6411076668658365,0.4604469340095551,15,flat
5,pareto_20201218,egbo,0.5920317080332789,0.5108904485053082,18,flat
5,hartmann6,rule_router,0.7222735009926669,0.6050284590372967,17,structured
5,hartmann6,approach_d,0.716670283907136,0.5688361934977416,17,structured
5,hartmann6,fixed_lhs,0.7265183946736696,0.5834978062926712,16,structured
5,hartmann6,fixed_random,0.7028155543401381,0.5672134528955413,16,structured
5,hartmann6,egbo,0.8142740154985091,0.6884852845885419,13,structured
10,pareto_20201218,rule_router,0.5579303492180471,0.4235454764076594,19,flat
10,pareto_20201218,approach_d,0.5559772794273665,0.4324136746362249,18,flat
10,pareto_20201218,fixed_lhs,0.5929206450463987,0.48936991126286655,19,flat
10,pareto_20201218,fixed_random,0.5853850581249361,0.4605175098331067,19,flat
10,pareto_20201218,egbo,0.5809818749403883,0.5196158168163968,19,flat
10,hartmann6,rule_router,0.7278469290872738,0.5860020041614987,17,structured
10,hartmann6,approach_d,0.7129719991652457,0.531499821337644,16,structured
10,hartmann6,fixed_lhs,0.7017993097916139,0.5624981310881367,17,structured
10,hartmann6,fixed_random,0.7086150192489356,0.6008567251134287,17,structured
10,hartmann6,egbo,0.8201361421622783,0.7076986449318102,14,structured
15,pareto_20201218,rule_router,0.5753645063111134,0.4823217153363227,19,flat
15,pareto_20201218,approach_d,0.5569833674918606,0.44347676215881826,19,flat
15,pareto_20201218,fixed_lhs,0.5797526581573146,0.4483844422501966,18,flat
15,pareto_20201218,fixed_random,0.5092214706128004,0.41134776201583984,19,flat
15,pareto_20201218,egbo,0.6233879679932592,0.5344435373174627,18,flat
15,hartmann6,rule_router,0.6901223561114771,0.5295516672507663,16,structured
15,hartmann6,approach_d,0.7386642688275372,0.5988296483688637,17,structured
15,hartmann6,fixed_lhs,0.6897195596113379,0.5180560853920756,17,structured
15,hartmann6,fixed_random,0.7153646509975438,0.6071158865096464,17,structured
15,hartmann6,egbo,0.8179495710867104,0.7055801051394339,13,structured
20,pareto_20201218,rule_router,0.5816781279189682,0.4674988333675077,19,flat
20,pareto_20201218,approach_d,0.5479444404946944,0.46317206700191405,19,flat
20,pareto_20201218,fixed_lhs,0.6361006400770203,0.42918019116915324,18,flat
20,pareto_20201218,fixed_random,0.5877525155190856,0.4637728352169209,18,flat
20,pareto_20201218,egbo,0.6073780582938724,0.5143510075328099,17,flat
20,hartmann6,rule_router,0.686024416906885,0.5444547292904977,17,structured
20,hartmann6,approach_d,0.7516426929031778,0.5938974055247757,17,structured
20,hartmann6,fixed_lhs,0.6920900511476897,0.5453703589907134,17,structured
20,hartmann6,fixed_random,0.7313454197559561,0.6021338255041533,17,structured
20,hartmann6,egbo,0.8331035618336108,0.7468282515049423,14,structured
