dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
pareto_20210112,rule_router,0,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.5619072664722784,3.185571697980825,0.5209711763480566,-1,0,0.0,0
pareto_20210112,rule_router,1,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6445788409605695,3.340375640781934,0.546287948290603,-1,0,0.0,0
pareto_20210112,rule_router,2,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,rule_router,3,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,rule_router,4,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,rule_router,5,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.7617125650239895,6.114679357715656,0.9999999999998365,22,1,0.2777777777777778,0
pareto_20210112,rule_router,6,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.6798328397427272,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,rule_router,7,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,rule_router,8,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6571719054400051,5.007901563748517,0.8189965934074044,-1,1,0.2777777777777778,0
pareto_20210112,rule_router,9,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.580061468124634,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,rule_router,10,6.114679357715656,-1.6910003165941683,0.24105698814021123,0.6318404545100085,5.007901563748517,0.8189965934074044,-1,1,0.2777777777777778,0
pareto_20210112,rule_router,11,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,rule_router,12,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,rule_router,13,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7702796560042036,6.114679357715656,0.9999999999998365,33,0,0.0,0
pareto_20210112,rule_router,14,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.7331055323094873,6.114679357715656,0.9999999999998365,34,1,0.2777777777777778,0
pareto_20210112,rule_router,15,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,rule_router,16,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,rule_router,17,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7304328265487295,6.114679357715656,0.9999999999998365,34,1,0.2777777777777778,0
pareto_20210112,rule_router,18,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.6414424797069782,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,rule_router,19,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6683154873306731,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_d,0,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.6121890979926606,3.8867505271241742,0.6356425741636214,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,1,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.7632620728110877,5.007901563748517,0.8189965934074044,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,2,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_d,3,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_d,4,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_d,5,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.5768716656861685,3.185571697980825,0.5209711763480566,-1,0,0.0,0
pareto_20210112,approach_d,6,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.666206868281201,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_d,7,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,approach_d,8,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6564498587683789,3.8867505271241742,0.6356425741636214,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,9,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.6161803002517929,3.8867505271241742,0.6356425741636214,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,10,6.114679357715656,-1.6910003165941683,0.24105698814021123,0.7522801044702145,6.114679357715656,0.9999999999998365,15,1,0.2777777777777778,0
pareto_20210112,approach_d,11,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,approach_d,12,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,13,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_d,14,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.6670957426771813,6.114679357715656,0.9999999999998365,26,1,0.2777777777777778,0
pareto_20210112,approach_d,15,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,approach_d,16,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.8731448595523433,6.114679357715656,0.9999999999998365,16,1,0.2777777777777778,0
pareto_20210112,approach_d,17,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7624535087590156,5.007901563748517,0.8189965934074044,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,18,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.6809014279667047,5.007901563748517,0.8189965934074044,-1,1,0.2777777777777778,0
pareto_20210112,approach_d,19,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6698555689999762,3.8867505271241742,0.6356425741636214,-1,1,0.2777777777777778,0
pareto_20210112,fixed_random,0,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.6073135343736076,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,fixed_random,1,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6979862952933027,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,fixed_random,2,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,fixed_random,3,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,fixed_random,4,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,fixed_random,5,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.7305102750760288,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,fixed_random,6,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.5771612427151482,3.340375640781934,0.546287948290603,-1,0,0.0,0
pareto_20210112,fixed_random,7,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0
pareto_20210112,fixed_random,8,6.114679357715656,-1.6910003165941683,0.5209711763481417,0.6377167358092151,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,fixed_random,9,6.114679357715656,-1.6910003165941683,0.3758852792804206,0.555587429050934,3.340375640781934,0.546287948290603,-1,0,0.0,0
pareto_20210112,fixed_random,10,6.114679357715656,-1.6910003165941683,0.24105698814021123,0.5332567781976096,6.114679357715656,0.9999999999998365,29,0,0.0,0
pareto_20210112,fixed_random,11,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,fixed_random,12,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.8582086582915023,5.007901563748517,0.8189965934074044,-1,0,0.0,0
pareto_20210112,fixed_random,13,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,fixed_random,14,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.5390556437068664,2.5166953648105173,0.4115825569225435,-1,0,0.0,0
pareto_20210112,fixed_random,15,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,fixed_random,16,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,fixed_random,17,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.7145759339927724,3.8867505271241742,0.6356425741636214,-1,0,0.0,0
pareto_20210112,fixed_random,18,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.583269529710075,3.340375640781934,0.546287948290603,-1,0,0.0,0
pareto_20210112,fixed_random,19,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.6445788409605695,3.340375640781934,0.546287948290603,-1,0,0.0,0
