dataset,seed,ls_norm,egbo_auc,random_auc,egbo_advantage,init_best_norm,structured
coatings,0,0.5187648426859786,0.8529388565356346,0.8106408707218601,0.04229798581377453,0.13105107062437907,True
coatings,1,0.8862596766878185,0.9942487474775823,0.9847760962641873,0.009472651213395022,0.9847760962641876,True
coatings,2,0.3894383461362947,0.8648100459679244,0.7286864291873119,0.13612361678061258,0.19480358667901757,True
coatings,3,0.001327162229833456,0.9582650890613292,0.8470572652391114,0.11120782382221783,0.8470572652391115,True
coatings,4,0.1504845893585762,0.9028699530503831,0.813030837573985,0.08983911547639811,0.46829439521817423,True
coatings,5,0.25799597409118996,0.889832426495506,0.8976976806166107,-0.007865254121104726,0.6406080154514009,True
coatings,6,0.010715501520044956,0.9546338391662282,0.8945893026971901,0.06004453646903818,0.7843872100624334,True
coatings,7,0.4380465665499274,0.8405336619509919,0.7561250582108477,0.08440860374014414,0.2968737267028211,True
coatings,8,0.009332091145078257,0.8811421367953431,0.7250190146267427,0.15612312216860047,0.2968737267028211,True
coatings,9,0.002723066595381001,0.9412149219951762,0.8207760331718433,0.12043888882333287,0.7656882140054638,True
coatings,10,0.2120682408385918,0.9755857180957759,0.9223634556517787,0.05322226244399719,0.9133618720969294,True
coatings,11,0.2560113018471553,0.908622068045879,0.9514920026911079,-0.042869934645228924,0.7760277139282816,True
coatings,12,0.280659716947162,0.8427009113098601,0.799711169959523,0.042989741350337174,0.2409432187949692,True
coatings,13,0.19495484855083733,0.9408129735745041,0.8470572652391114,0.0937557083353927,0.8470572652391115,True
coatings,14,0.21367319154336772,0.9129016132168069,0.7107570434219296,0.20214456979487727,0.4407814824360152,True
coatings,15,0.002162433633052931,0.9093937475705915,0.917287363435372,-0.007893615864780434,0.692736662031016,True
coatings,16,0.26309265680965765,0.8520924450711698,0.8126187367779144,0.03947370829325536,0.46829439521817423,True
coatings,17,0.0002713439723054314,0.9076130851589701,0.9004567617459033,0.007156323413066823,0.7760277139282816,True
coatings,18,0.00027210169730461646,0.9813191385317585,0.9562104065972842,0.02510873193447427,0.9133618720969294,True
coatings,19,0.012635652421625263,0.9491115011978213,0.8300216740097393,0.11908982718808203,0.7012470763872891,True
pareto_20201218,0,0.00023668715261772485,0.6472942635058937,0.7743720656250936,-0.12707780211919995,0.39832550833358316,False
pareto_20201218,1,0.8100288775872468,0.47699731379466087,0.20482010426088698,0.2721772095337739,-0.14795900137072068,False
pareto_20201218,2,0.20820429896258955,0.9999999999999997,1.0,-3.3306690738754696e-16,1.0,False
pareto_20201218,3,0.17042474290940302,0.5052689881704555,0.3766068697138854,0.1286621184565701,0.37159487618626297,False
pareto_20201218,4,0.006583397119915752,0.7141351296463891,0.6052342266545373,0.10890090299185184,0.6052342266545373,False
pareto_20201218,5,0.00030376362063087365,0.493240378950117,0.353232919555709,0.140007459394408,0.15697287069571897,False
pareto_20201218,6,0.6233021629257467,0.5706429687185076,0.39832550833358316,0.17231746038492446,0.39832550833358316,False
pareto_20201218,7,0.00013627391414680032,0.824795353539012,0.7190829346406755,0.10571241889833649,0.6091588655870268,False
pareto_20201218,8,0.22535308798464915,0.804977720195737,0.38078353098690426,0.42419418920883273,0.37159487618626297,False
pareto_20201218,9,0.0026258504936525545,0.42047717973687493,0.812382201832057,-0.3919050220951821,0.14231863694654603,False
pareto_20201218,10,0.5150269181800137,0.5315810047483979,0.3684244032381197,0.16315660151027817,0.16862640616095434,False
pareto_20201218,11,0.011854103285468412,0.5681995570696535,0.9018116994041037,-0.33361214233445013,0.37159487618626297,False
pareto_20201218,12,0.11160051891565725,0.6063168856703963,0.6052342266545373,0.0010826590158590221,0.6052342266545373,False
pareto_20201218,13,0.13594394872905266,0.5072749282346367,0.672803292649123,-0.16552836441448626,0.03707029581911419,False
pareto_20201218,14,0.20671626305354426,0.5449480137900526,0.4957157811225337,0.049232232667518916,0.37159487618626297,False
pareto_20201218,15,0.0010267679753202734,0.503648589641589,0.7534936551866411,-0.24984506554505215,0.20270980841072048,False
pareto_20201218,16,0.004764256148187806,0.58163859400822,0.5828695248356901,-0.0012309308274700559,0.46210013501391495,False
pareto_20201218,17,0.323248106195759,0.46985083134022265,0.8447941891035616,-0.374943357763339,0.006682810262795429,False
pareto_20201218,18,0.0190818380153032,0.7183011513938421,0.3956879089734479,0.3226132424203942,0.37159487618626297,False
pareto_20201218,19,0.0007674135492902844,0.5290304449878415,0.7954444660522824,-0.2664140210644409,0.15697287069571897,False
pareto_20210112,0,0.3708914124356423,0.8342792938080401,0.4801782558597605,0.35410103794827963,0.19584878968100458,True
pareto_20210112,1,0.00036798624775777794,0.5572273241169661,0.6605578014411774,-0.1033304773242113,0.4115825569226108,True
pareto_20210112,2,0.0023321724339047897,0.8571313735830328,0.6433027014437446,0.21382867213928825,0.057067065648016786,True
pareto_20210112,3,0.2048889480520574,0.6554376672088104,0.5462879482906923,0.10914971891811809,0.5462879482906924,True
pareto_20210112,4,0.39532183423440465,0.6961799204774911,0.512882771663211,0.18329714881428016,0.45221717849653986,True
pareto_20210112,5,0.39918643202276766,0.9170026028025061,0.5592153259690648,0.35778727683344136,0.45221717849653986,True
pareto_20210112,6,0.5222199162536109,0.6628643696643365,0.7730560618663118,-0.11019169220197533,0.4115825569226108,True
pareto_20210112,7,0.0812667730467143,0.9286956277059998,0.818996593407538,0.10969903429846173,0.8189965934075383,True
pareto_20210112,8,0.20174494097837162,0.6798071106287285,0.949394801967184,-0.2695876913384555,0.6356425741637254,True
pareto_20210112,9,0.006030824704511066,0.4958464987844177,0.24103156012383362,0.25481493866058413,-0.023234323203362002,True
pareto_20210112,10,0.1027101045997623,0.6052884661406526,0.622142843472228,-0.016854377331575465,0.03158159366629744,True
pareto_20210112,11,0.00031074997341717844,1.0,1.0,0.0,1.0,True
pareto_20210112,12,0.26934327672136776,1.0,1.0,0.0,1.0,True
pareto_20210112,13,0.6610167253458892,0.7988258543288344,0.3693216713472748,0.42950418298155957,0.25146153966618423,True
pareto_20210112,14,0.5350491176429342,0.4766736798484785,0.7137678028793656,-0.23709412303088706,0.07304071307402091,True
pareto_20210112,15,0.062100705913088534,0.8171080905973305,0.5019187571367121,0.3151893334606184,0.3758852792804206,True
pareto_20210112,16,0.00023484008224528246,0.7264448935709082,0.5771769012245375,0.14926799234637078,0.45221717849653986,True
pareto_20210112,17,0.07972486648018354,0.6003805925918712,0.5781480732886646,0.022232519303206577,0.29067556891335994,True
pareto_20210112,18,0.25009973567468713,0.8345890722561119,0.5086071192387073,0.3259819530174046,0.19789332743827667,True
pareto_20210112,19,0.21358573441291115,0.4806266354633138,0.5130592357280533,-0.03243260026473954,0.14877319700318745,True
hartmann3,0,0.009177857240803201,0.9640049532947238,0.9048595122201448,0.059145441074578975,0.8665599090943119,True
hartmann3,1,0.0021851405831123318,0.9366616782780183,0.6536210492185784,0.28304062905943983,0.5985958139305972,True
hartmann3,2,0.571200943088718,0.9120981364547266,0.8783591138922449,0.033739022562481735,0.6060087644450216,True
hartmann3,3,0.5471823342093592,0.9440984273100628,0.782919244262794,0.16117918304726875,0.7162672323978868,True
hartmann3,4,0.12163944365819537,0.9086344687421593,0.7889447196622795,0.11968974907987973,0.39122572805760203,True
hartmann3,5,0.015475745766264912,0.8849657125856827,0.8937138264849971,-0.008748113899314403,0.4812675359506326,True
hartmann3,6,0.15556767174108851,0.9173162162528056,0.8782830566350402,0.03903315961776532,0.5048919077214767,True
hartmann3,7,0.0006299766220621227,0.919836808753992,0.8880860421594318,0.03175076659456022,0.705489584630084,True
hartmann3,8,0.00021273450498817396,0.9489037440531093,0.7971223214764697,0.15178142257663962,0.6060087644450216,True
hartmann3,9,0.5795659445377555,0.9421188593527111,0.7074295612282884,0.23468929812442274,0.705489584630084,True
hartmann3,10,0.12510010423308468,0.9620833186314136,0.7359538312911679,0.22612948734024574,0.6284165225878544,True
hartmann3,11,0.26491378239429714,0.907303344408552,0.8115414130504859,0.0957619313580661,0.6060087644450216,True
hartmann3,12,0.18440681158906827,0.9380416520706042,0.8013723960359287,0.1366692560346755,0.6284165225878544,True
hartmann3,13,0.4206382751802014,0.9914783705076979,0.9536044616530228,0.03787390885467512,0.9536044616530228,True
hartmann3,14,0.14090464803253236,0.9304647493676165,0.9107354137564343,0.019729335611182175,0.5519045013804538,True
