dataset,condition,label,n_qualifying,mid_auc_mean,mid_auc_std,threshold
coatings,egbo,EGBO,14,0.8649075887076851,0.05088813981853376,0.8
coatings,approach_a,LLM-A,14,0.7871770388835919,0.11016504679659753,0.8
coatings,approach_d,approach_d,14,0.7816325869032318,0.08414926698708282,0.8
coatings,fixed_lhs,LHS,14,0.771149797397623,0.07992764650773929,0.8
coatings,fixed_random,Random,14,0.7648515652705609,0.09654902714778715,0.8
coatings,rule_router,rule_router,14,0.7533994817667444,0.0890319735500909,0.8
coatings,fixed_ucb_high,UCB β=400,14,0.7444225411081947,0.06805156174412644,0.8
pareto_20201218,fixed_random,Random,19,0.5582786525915946,0.22156799440543784,0.8
pareto_20201218,egbo,EGBO,19,0.5565869089761012,0.10719517109511759,0.8
pareto_20201218,approach_d,approach_d,19,0.5252474196080181,0.22060504729153557,0.8
pareto_20201218,fixed_lhs,LHS,19,0.5053197064702717,0.20745333488143913,0.8
pareto_20201218,approach_a,LLM-A,19,0.48262133039871624,0.09919996635928331,0.8
pareto_20201218,rule_router,rule_router,19,0.45687686501926844,0.13941244133439906,0.8
pareto_20201218,fixed_ucb_high,UCB β=400,19,0.419559319873226,0.12380397786700288,0.8
pareto_20210112,egbo,EGBO,17,0.669096124154929,0.18469452443371093,0.8
pareto_20210112,approach_a,LLM-A,17,0.5564007477696863,0.16728978826754842,0.8
pareto_20210112,fixed_lhs,LHS,17,0.5178392021844258,0.1521014421989496,0.8
pareto_20210112,rule_router,rule_router,17,0.5102516498887377,0.16126905059073768,0.8
pareto_20210112,fixed_random,Random,17,0.5083840729667695,0.1595061948483558,0.8
pareto_20210112,fixed_ucb_high,UCB β=400,17,0.5013532307694138,0.15659301719592547,0.8
pareto_20210112,approach_d,approach_d,17,0.4850174976081818,0.19408074147540946,0.8
hartmann3,egbo,EGBO,14,0.9260323562320188,0.045604022342582755,0.8
hartmann3,fixed_ucb_high,UCB β=400,14,0.8191471516291641,0.1015739675464707,0.8
hartmann3,approach_a,LLM-A,14,0.814465645530227,0.07696073462036326,0.8
hartmann3,approach_d,approach_d,14,0.8063732501090957,0.06279547444193939,0.8
hartmann3,fixed_lhs,LHS,14,0.7973878724516145,0.09083122803032581,0.8
hartmann3,rule_router,rule_router,14,0.7920754510539901,0.08753596298751941,0.8
hartmann3,fixed_random,Random,14,0.7628317014495124,0.11419519875290506,0.8
hartmann6,egbo,EGBO,17,0.7911631714421262,0.14239546401562167,0.8
hartmann6,rule_router,rule_router,17,0.6250481741598315,0.17975281113405486,0.8
hartmann6,fixed_ucb_high,UCB β=400,17,0.6238559517029557,0.1752296406134867,0.8
hartmann6,approach_a,LLM-A,17,0.6229134375888812,0.11019653515001776,0.8
hartmann6,approach_d,approach_d,17,0.5985386034426801,0.14693357354389877,0.8
hartmann6,fixed_lhs,LHS,17,0.5861477445482768,0.13637783954071125,0.8
hartmann6,fixed_random,Random,17,0.578057921617785,0.13079137034377508,0.8
