dataset,condition,label,n_qualifying,mid_auc_mean,mid_auc_std,threshold
pareto_20201218,fixed_random,Random,65,0.7252408190978739,0.15120818492998092,0.8
pareto_20201218,fixed_lhs,LHS,65,0.6912857243698731,0.10157948495941937,0.8
pareto_20201218,fixed_ucb_low,UCB β=0.2,65,0.5969758003255586,0.16594016358168184,0.8
pareto_20201218,fixed_ucb_high,UCB β=400,65,0.6767515511199721,0.1080906411955536,0.8
pareto_20201218,fixed_ei,EI (fixed),65,0.634936538230525,0.1325496523866852,0.8
pareto_20201218,approach_a,LLM-A,65,0.6554053392629686,0.07938410590732362,0.8
pareto_20201218,approach_b,LLM-B,65,0.7063837297154905,0.10489388562691516,0.8
pareto_20201218,approach_c,LLM-C,65,0.7288004185669545,0.1587022461432724,0.8
pareto_20210112,approach_a,LLM-A,61,0.7155084976347191,0.0972821055584668,0.8
pareto_20210112,approach_b,LLM-B,61,0.6990677199627351,0.10969724732493649,0.8
pareto_20210112,approach_c,LLM-C,61,0.6961798779198355,0.1417624714290881,0.8
