dataset,condition,label,n_qualifying,mid_auc_mean,mid_auc_std,threshold
pareto_20201218,egbo,EGBO,17,0.6361184234419383,0.07653644572656848,0.8
pareto_20201218,approach_c,LLM-C,17,0.6350247720969192,0.12291466338809903,0.8
pareto_20201218,approach_a,LLM-A,17,0.6342060035301693,0.07763051467434617,0.8
pareto_20201218,novelty_egbo,Novelty-EGBO,17,0.6307876973588175,0.08011106842860212,0.8
pareto_20201218,fixed_random,Random,17,0.6256454730584593,0.08417197177201315,0.8
pareto_20201218,fixed_ei,EI (fixed),17,0.6127766841691733,0.08714505430276122,0.8
pareto_20201218,mock_approach_b,Mock-B,17,0.6120230446313726,0.09237126962222496,0.8
pareto_20201218,fixed_lhs,LHS,17,0.595159447556342,0.08921441064155991,0.8
pareto_20201218,fixed_ucb_high,UCB β=400,17,0.5941037896041991,0.08503543509042572,0.8
pareto_20210112,novelty_egbo,Novelty-EGBO,14,0.6473042327836305,0.07801821879375886,0.8
pareto_20210112,egbo,EGBO,14,0.6312403350017769,0.05216106649742845,0.8
pareto_20210112,approach_a,LLM-A,14,0.6021464954954762,0.07168325466864287,0.8
pareto_20210112,fixed_ucb_high,UCB β=400,14,0.5981305403519857,0.09296462451246207,0.8
pareto_20210112,approach_c,LLM-C,14,0.5924438634558173,0.09972524616194887,0.8
pareto_20210112,fixed_lhs,LHS,14,0.5793599139779971,0.0916416162060974,0.8
pareto_20210112,mock_approach_b,Mock-B,14,0.5784871879816217,0.09407553316245229,0.8
pareto_20210112,fixed_ei,EI (fixed),14,0.5562346646784355,0.1209517968428992,0.8
pareto_20210112,fixed_random,Random,14,0.5501929160237539,0.08696973195795707,0.8
